#{"t_start": 1700436106.84646, "env_id": "None"}
r,l,t
658.0053,250,37.147146
213.55927,250,37.147146
805.5937,250,37.147146
332.3438,250,37.147146
422.0136,250,37.147146
584.9794,250,37.147146
590.4033,250,72.039223
687.5823,250,72.039223
386.48755,250,72.039223
879.0793,250,72.039223
806.89716,250,72.039223
857.1429,250,72.039223
213.33423,250,99.134558
643.1494,250,99.134558
522.2999,250,99.134558
771.2872,250,99.134558
624.37976,250,99.134558
767.6921,250,99.134558
492.83356,250,125.770133
523.18604,250,125.770133
186.62486,250,125.770133
232.13107,250,125.770133
845.6514,250,125.770133
548.7449,250,125.770133
869.58185,250,152.363432
345.2561,250,152.363432
220.55832,250,152.363432
674.81036,250,152.363432
485.9868,250,152.363432
829.3272,250,152.363432
749.1219,250,179.266233
678.8442,250,179.266233
198.89404,250,179.266233
315.8422,250,179.266233
791.15485,250,179.266233
872.12616,250,179.266233
762.6183,250,206.688335
626.61835,250,206.689332
538.8058,250,206.689332
823.80945,250,206.689332
819.5383,250,206.689332
855.5557,250,206.689332
916.99884,208,229.412647
843.8201,250,233.997416
810.77966,250,233.997416
711.9121,250,233.997416
838.11066,250,233.997416
281.57983,250,233.997416
823.8406,250,363.996102
745.8771,250,368.411745
760.54254,250,368.411745
576.76556,250,368.411745
824.4597,250,368.411745
443.1659,250,368.411745
631.4468,250,390.911834
559.998,250,395.482675
741.91223,250,395.482675
760.8408,250,395.482675
764.30695,250,395.482675
424.1644,250,395.482675
652.5061,250,417.981581
790.62366,250,422.488055
801.69305,250,422.488055
591.2728,250,422.488055
511.9857,250,422.488055
459.85947,250,422.488055
822.8059,250,445.458167
786.20764,250,450.051886
493.16852,250,450.051886
647.4749,250,450.051886
407.5541,250,450.051886
394.91647,250,450.051886
840.4383,250,472.641068
298.6496,250,477.1954
773.36084,250,477.1954
304.04153,250,477.1954
732.19135,250,477.1954
528.8318,250,477.1954
839.759,250,499.968998
486.8854,250,504.601153
807.47095,250,504.601153
396.35095,250,504.601153
797.163,250,504.601153
458.73993,250,504.601153
788.5218,250,527.286594
869.81036,250,531.847403
840.1418,250,531.847403
805.1093,250,531.847403
748.05585,250,531.847403
394.6628,250,531.847403
