#{"t_start": 1700523189.732589, "env_id": "None"}
r,l,t
-11.032004,250,30.674924
-54.802353,250,30.674924
-51.049007,250,30.674924
-60.39615,250,30.674924
-18.238949,250,30.674924
-26.739882,250,30.674924
-65.94437,250,58.019705
-57.516468,250,58.019705
-66.21631,250,58.019705
-41.422596,250,58.019705
-27.586166,250,58.019705
-32.14284,250,58.019705
-29.999977,250,83.887125
-55.47952,250,83.887125
-24.460384,250,83.887125
-70.29716,250,83.887125
-29.328606,250,83.887125
-29.230742,250,83.887125
-28.338726,250,109.988913
-42.028976,250,109.988913
-36.305737,250,109.988913
-63.899014,250,109.988913
-67.39141,250,109.988913
-35.483856,250,109.988913
-16.349766,250,136.381844
-19.707996,250,136.381844
-40.76657,250,136.381844
-12.213741,250,136.382841
-77.70716,250,136.382841
-25.795042,250,136.382841
-19.298231,250,163.090431
-32.692272,250,163.090431
-52.02956,250,163.090431
-30.693024,250,163.090431
-65.9865,250,163.090431
-26.82923,250,163.090431
-36.10221,250,189.545213
-49.640316,250,189.545213
-28.358173,250,189.545213
-36.507954,250,189.545213
-31.034452,250,189.545213
-74.07421,250,189.545213
-55.056248,250,215.834793
-36.802948,250,215.834793
-39.849598,250,215.834793
-27.899637,250,215.834793
-28.338732,250,215.834793
-40.789486,250,215.834793
-46.236565,250,344.891922
-28.571384,250,344.891922
-63.57625,250,344.891922
-32.65992,250,344.891922
-31.654629,250,344.89292
-60.431744,250,344.89292
10.000002,250,370.130707
-63.23538,250,370.130707
-15.194274,250,370.130707
-41.747585,250,370.130707
-70.5016,250,370.131704
-40.520466,250,370.131704
-71.87513,250,395.799603
-66.10181,250,395.799603
-23.076881,250,395.799603
-56.3759,250,395.799603
-58.99061,250,395.799603
-33.098557,250,395.799603
-34.48274,250,421.600969
-31.67696,250,421.600969
-43.859665,250,421.600969
-36.026897,250,421.600969
-69.78864,250,421.600969
-52.542404,250,421.600969
-66.21633,250,447.626987
-60.698753,250,447.626987
-81.19138,250,447.626987
-49.494965,250,447.626987
-52.054825,250,447.626987
-63.190285,250,447.626987
-31.14747,250,473.903714
-53.736702,250,473.903714
-63.855515,250,473.903714
-52.55477,250,473.903714
-29.07795,250,473.903714
-71.34683,250,473.903714
-13.207618,250,500.401867
-61.267693,250,500.401867
-40.9836,250,500.401867
-59.854088,250,500.401867
-43.46297,250,500.401867
-11.032035,250,500.401867
-37.106888,250,527.245031
-59.75239,250,527.245031
-70.09979,250,527.245031
-32.692272,250,527.245031
-11.184167,250,527.245031
-55.056232,250,527.245031
-127.87934,158,648.594165
-59.558887,250,657.708798
-59.044434,250,657.708798
-64.028885,250,657.708798
-66.29222,250,657.708798
-66.21633,250,657.708798
-37.106945,250,673.909692
-61.937786,250,683.131037
-4.2554283,250,683.131037
-62.32884,250,683.131037
20.805176,250,683.131037
-16.967474,250,683.131037
-28.8538,250,699.331223
-148.00996,187,702.239446
-55.326508,250,708.660272
-29.012358,250,708.660272
-58.20901,250,708.660272
-63.190266,250,708.660272
-120.20491,207,723.468138
-48.805473,250,724.962141
-51.456333,250,734.244316
19.777033,250,734.244316
-43.46293,250,734.245314
-24.000044,250,734.245314
-50.877316,250,749.399799
-174.92432,245,750.313356
-71.11925,250,760.466206
-64.15779,250,760.466206
-10.4478655,250,760.466206
-45.652187,250,760.466206
-21.2599,250,775.544887
-60.244717,250,776.527259
-156.60915,227,784.259586
-71.875114,250,786.700059
-29.999964,250,786.700059
-53.068634,250,786.700059
-25.423693,250,802.235206
-27.631588,250,803.240517
-29.961077,250,810.96187
-51.298725,250,813.340508
-63.455235,250,813.341507
-55.271618,250,813.341507
-48.88181,250,828.443172
-20.45464,250,829.401609
-32.835777,250,836.966381
-12.547626,250,839.380929
-67.64716,250,839.381927
-29.368092,250,839.381927
-48.717953,250,854.638125
-89.19312,147,959.134426
-19.540281,250,959.775711
-75.43874,250,967.264658
-69.89977,250,969.584466
-68.15297,250,969.584466
-26.315845,250,983.819447
-30.656961,250,984.136599
47.169586,250,984.788854
-25.423782,250,992.324762
-75.30878,250,994.7054
-26.153885,250,994.7054
-73.97782,250,1009.24552
27.272476,250,1009.56367
-24.398676,250,1010.194981
74.07379,250,1017.556293
27.035608,250,1019.85613
-36.17026,250,1019.85613
-59.11956,250,1034.315981
218.5197,250,1034.663052
-33.130722,250,1035.298353
-108.06671,179,1037.857509
-55.12825,250,1042.713538
-44.805206,250,1045.056272
-33.566467,250,1059.400913
-30.158756,250,1059.737015
-21.641863,250,1060.372314
-39.51617,250,1063.073091
71.42853,250,1068.120593
-13.194543,250,1070.602952
-66.66676,250,1085.710389
-53.405052,250,1086.054468
79.810646,250,1086.705726
-30.000034,250,1089.429442
-43.262413,250,1094.455
-25.266949,250,1096.890487
-52.029568,250,1111.74422
-58.209015,250,1112.087301
-36.803005,250,1112.747536
19.133379,250,1115.447315
-32.30773,250,1120.491823
-34.718052,250,1122.932306
-28.315454,250,1137.70331
-64.91236,250,1138.050381
-66.44305,250,1138.683687
-62.54689,250,1141.409397
-15.441293,250,1146.420994
-8.011979,250,1148.886399
-13.580302,250,1164.130999
-14.728772,250,1164.506992
