#{"t_start": 1701212617.8546655, "env_id": "None"}
r,l,t
-78.647835,250,69.754341
-54.80232,250,69.754341
-26.57337,250,69.754341
-24.092398,250,69.754341
-40.25158,250,69.754341
-26.73988,250,69.754341
-34.9845,250,130.333555
-34.640476,250,130.333555
-59.459568,250,130.333555
12.970736,250,130.334159
-17.241344,250,130.334159
-42.857143,250,130.334159
-29.99997,250,165.109686
-65.75353,250,165.109686
-78.41742,250,165.109686
-43.894398,250,165.109686
-32.86215,250,165.109686
-72.30782,250,165.109686
-67.42683,250,197.280831
-20.289839,250,197.280831
-7.6433115,250,197.280831
-35.01815,250,197.280831
-16.666662,250,197.280831
-53.405075,250,197.280831
-39.16347,250,225.773664
-8.759124,250,225.773664
-58.18821,250,225.774661
-0.76332736,250,225.774661
-33.120987,250,225.774661
-22.261467,250,225.774661
-54.386032,250,255.43299
-42.307682,250,255.43299
-29.889372,250,255.43299
-50.495132,250,255.43299
-45.57824,250,255.43299
-47.735207,250,255.43299
-32.90732,250,282.661724
-46.043205,250,282.661724
-76.11955,250,282.661724
-52.381012,250,282.661724
-19.540192,250,282.661724
-70.37049,250,282.661724
-25.093624,250,308.889284
-51.672916,250,308.890282
-62.406097,250,308.890282
-71.786964,250,308.890282
-44.62542,250,308.890282
-57.236908,250,308.890282
-46.23656,250,445.094715
-69.38786,250,445.094715
-63.57628,250,445.094715
-42.760967,250,445.094715
-78.41742,250,445.094715
-20.86331,250,445.094715
-73.33347,250,473.891858
-70.58835,250,473.891858
-29.32857,250,473.891858
-77.34643,250,473.891858
-32.15335,250,473.891858
71.00355,250,473.891858
-71.87512,250,503.103482
-32.20333,250,503.103482
-33.110355,250,503.103482
-66.44306,250,503.103482
-71.608955,250,503.103482
-75.35224,250,503.103482
-48.27588,250,530.83233
-50.31059,250,530.83233
-47.368423,250,530.83233
-42.76093,250,530.83233
-39.57706,250,530.83233
-35.593193,250,530.83233
-45.945946,250,557.454282
-25.764257,250,557.454282
-34.169304,250,557.454282
-25.925974,250,557.454282
-69.178185,250,557.454282
-38.650284,250,557.454282
-77.049324,250,584.068626
-60.854225,250,584.068626
-27.71079,250,584.068626
-52.554775,250,584.068626
-29.078058,250,584.068626
-36.96274,250,584.068626
-66.03784,250,610.792876
-40.14088,250,610.792876
-37.70495,250,610.792876
-30.656956,250,610.792876
-39.929295,250,610.792876
-60.85417,250,610.792876
-52.83026,250,637.970102
-41.176506,250,637.970102
-73.42205,250,637.970102
-77.564255,250,637.970102
-14.473745,250,637.970102
-70.03757,250,637.970102
-30.147018,250,760.143675
-35.153595,250,760.143675
-28.057577,250,760.143675
-70.03756,250,760.143675
-26.98409,250,760.143675
-66.21631,250,760.143675
0.34587726,250,787.159066
-4.2554703,250,787.159066
-62.32884,250,787.160064
4.026664,250,787.160064
-65.4089,250,787.160064
4.692968,250,787.160064
-34.707916,250,813.685298
-59.876606,250,813.685298
-37.31345,250,813.685298
-33.77485,250,813.685298
-5.1384783,250,813.685298
-26.380365,250,813.685298
-70.8739,250,841.020665
-58.21733,250,841.020665
-75.26515,250,841.020665
-40.983604,250,841.020665
-52.21853,250,841.020665
15.999792,250,841.020665
44.404114,250,867.516813
-67.742035,250,867.516813
-17.91054,250,867.516813
15.789467,250,867.516813
-73.85634,250,867.516813
-63.768196,250,867.516813
-31.818226,250,894.178536
-50.000023,250,894.178536
13.33338,250,894.178536
41.73201,250,894.178536
-51.070415,250,894.178536
-31.407911,250,894.178536
-147.93686,227,918.437661
-61.089565,250,920.8911
-57.792263,250,920.8911
-73.42205,250,920.8911
76.27112,250,920.8911
-64.85632,250,920.8911
-28.030348,250,945.197112
-29.10451,250,947.77023
6.4637127,250,947.77023
-26.470598,250,947.77023
-32.907383,250,947.77023
-40.520485,250,947.77023
-46.360165,250,1069.713859
8.77191,250,1072.176273
60.53503,250,1072.176273
189.80963,250,1072.176273
-41.39192,250,1072.176273
-50.49508,250,1072.176273
-35.84902,250,1097.002314
5.084717,250,1099.563464
-29.012377,250,1099.563464
-13.846111,250,1099.563464
50.876907,250,1099.563464
38.68582,250,1099.563464
-0.34381852,250,1124.250509
40.740646,250,1126.813672
-47.882816,250,1126.813672
6.382858,250,1126.813672
-21.933184,250,1126.813672
63.636368,250,1126.813672
-33.13072,250,1169.328357
-32.692326,250,1176.020021
7.142689,250,1176.020021
59.99975,250,1176.020021
3.7734303,250,1176.020021
-37.037083,250,1176.020021
-40.298515,250,1202.60761
30.612133,250,1205.209653
-9.722352,250,1205.209653
29.031967,250,1205.209653
81.81818,250,1205.209653
-33.33332,250,1205.209653
-65.29978,250,1232.054702
2.8367267,250,1234.985999
38.789772,250,1234.985999
-13.333367,250,1234.985999
37.036736,250,1234.985999
-28.315454,250,1234.985999
-3.3458245,250,1261.819446
-47.69232,250,1264.349687
-58.457024,250,1264.349687
62.454567,250,1264.349687
-0.36917862,250,1264.349687
-43.2836,250,1264.350685
-36.24163,250,1288.876207
-0.7354243,250,1291.413421
-22.848686,250,1291.413421
27.340584,250,1291.413421
-13.978589,250,1291.413421
-5.2631335,250,1291.413421
-60.78438,250,1413.860678
-22.360271,250,1416.307136
74.84644,250,1416.307136
46.666405,250,1416.307136
-44.444466,250,1416.307136
43.410553,250,1416.307136
107.01758,250,1440.67898
0.62889576,250,1443.123442
-74.545586,250,1443.123442
214.81569,250,1443.123442
-12.213872,250,1443.123442
29.138779,250,1443.123442
-37.037083,250,1467.795851
-24.914736,250,1470.386922
-13.183393,250,1470.386922
10.091551,250,1470.386922
-54.692596,250,1470.386922
-0.6212904,250,1470.386922
33.550224,250,1495.233475
100.000084,250,1497.771687
76.07954,250,1497.771687
30.434464,250,1497.771687
102.95229,250,1497.771687
80.4279,250,1497.771687
47.92868,250,1522.546433
2.1020074,250,1525.10559
-7.0423865,250,1525.10559
32.403877,250,1525.10559
41.342728,250,1525.10559
71.14065,250,1525.10559
33.093193,250,1549.964126
63.636078,250,1552.52428
-1.6950697,250,1552.52428
24.600424,250,1552.52428
98.01998,250,1552.52428
46.71788,250,1552.52428
24.999805,250,1577.57033
20.914772,250,1580.116521
-50.920277,250,1580.116521
256.6674,250,1580.116521
19.740858,250,1580.116521
87.72579,250,1580.116521
83.60662,250,1604.651917
69.88406,250,1607.119318
-12.58752,250,1607.119318
-1.4086103,250,1607.119318
58.78351,250,1607.119318
-49.10184,250,1607.119318
19.298203,250,1634.027859
-13.357505,250,1733.605909
85.87375,250,1733.605909
18.055319,250,1733.605909
114.28536,250,1733.606906
-65.90918,250,1733.606906
100.716774,250,1758.04057
233.33417,250,1760.582755
61.51168,250,1760.582755
40.350594,250,1760.582755
-67.742035,250,1760.582755
481.6338,250,1760.582755
192.77628,250,1785.176536
-4.9297075,250,1787.698791
39.610138,250,1787.698791
169.5035,250,1787.698791
140.26027,250,1787.698791
213.29181,250,1787.698791
66.13413,250,1812.453633
108.60929,250,1815.005807
111.41002,250,1815.005807
77.14268,250,1815.005807
74.37702,250,1815.005807
192.25394,250,1815.005807
-13.207664,250,1839.213865
303.9227,250,1841.756066
315.66324,250,1841.756066
196.29724,250,1841.757063
249.39735,250,1841.757063
341.78146,250,1841.757063
262.00803,250,1866.679312
31.672335,250,1869.199573
206.5479,250,1869.20057
330.00006,250,1869.20057
13.712181,250,1869.20057
179.36577,250,1869.20057
-30.232586,250,1893.535491
31.944132,250,1896.013864
-25.423779,250,1896.013864
346.15457,250,1896.013864
133.33423,250,1896.013864
78.6942,250,1896.013864
