#{"t_start": 1701251821.909935, "env_id": "None"}
r,l,t
-78.647835,250,48.572472
-54.80232,250,48.572472
-26.57337,250,48.572472
-24.092398,250,48.572472
-40.25158,250,48.572472
-26.73988,250,48.572472
-34.9845,250,97.588597
-34.640476,250,97.588597
-59.459568,250,97.588597
12.970736,250,97.588597
-17.241344,250,97.588597
-42.857143,250,97.588597
-29.99997,250,125.80425
-65.75353,250,125.80425
-78.41742,250,125.80425
-43.894398,250,125.80425
-32.86215,250,125.80425
-72.30782,250,125.80425
-67.42683,250,155.189639
-20.289839,250,155.189639
-7.6433115,250,155.189639
-35.01815,250,155.189639
-16.666662,250,155.189639
-53.405075,250,155.189639
-39.16347,250,182.350671
-8.759124,250,182.350671
-58.18821,250,182.350671
-0.76332736,250,182.351667
-33.120987,250,182.351667
-22.261467,250,182.351667
-54.386032,250,211.617826
-42.307682,250,211.617826
-29.889372,250,211.617826
-50.495132,250,211.617826
-45.57824,250,211.617826
-47.735207,250,211.617826
-32.90732,250,238.393781
-46.043205,250,238.393781
-76.11955,250,238.393781
-52.381012,250,238.393781
-19.540192,250,238.393781
-70.37049,250,238.393781
-25.093624,250,264.501925
-51.672916,250,264.501925
-62.406097,250,264.501925
-71.786964,250,264.501925
-44.62542,250,264.501925
-57.236908,250,264.501925
-46.23656,250,400.502063
-69.38786,250,400.502063
-63.57628,250,400.502063
-39.39395,250,400.503067
-78.41742,250,400.503067
-17.266188,250,400.503067
-23.333292,250,429.007376
-70.58835,250,429.007376
-29.32857,250,429.007376
-77.34643,250,429.007376
-38.053097,250,429.007376
-7.063272,250,429.007376
-71.87512,250,458.633454
-32.20333,250,458.633454
-26.421385,250,458.633454
-66.44306,250,458.633454
-71.608955,250,458.633454
-75.35224,250,458.633454
-41.3793,250,486.069829
-56.5218,250,486.070826
-47.368423,250,486.070826
-42.76093,250,486.070826
-36.5559,250,486.070826
-38.983036,250,486.070826
-42.567554,250,512.716327
-30.131037,250,512.716327
-31.034512,250,512.716327
-25.925974,250,512.716327
-69.178185,250,512.716327
-38.650284,250,512.716327
-63.93452,250,539.793497
-60.854225,250,539.793497
-43.77515,250,539.793497
-52.554775,250,539.793497
-39.71628,250,539.793497
-22.636057,250,539.793497
-54.717087,250,566.335542
-43.66201,250,566.335542
-37.70495,250,566.335542
-34.306522,250,566.335542
-43.46288,250,566.335542
-43.0605,250,566.335542
-33.96232,250,593.51767
-41.176506,250,593.51767
-73.42205,250,593.51767
-74.359116,250,593.51767
-11.184277,250,593.51767
-70.03757,250,593.51767
-44.852955,250,713.370623
-35.153595,250,713.370623
-28.057577,250,713.370623
-70.03756,250,713.370623
-26.98409,250,713.370623
-66.21631,250,713.370623
0.34587726,250,739.924619
-71.63132,250,739.924619
-62.32884,250,739.924619
-2.684725,250,739.924619
-65.4089,250,739.925616
-6.137322,250,739.925616
-34.707912,250,766.818711
-59.876606,250,766.818711
-43.28358,250,766.818711
-27.152355,250,766.818711
50.19731,250,766.818711
-7.9756036,250,766.818711
-67.63764,250,793.827598
36.489998,250,793.827598
-71.73156,250,793.827598
-60.655804,250,793.827598
2.3891377,250,793.827598
124.00098,250,793.827598
15.523251,250,820.798303
-64.15778,250,820.798303
-17.91054,250,820.798303
-57.894863,250,820.798303
-77.12432,250,820.798303
-63.768196,250,820.798303
-128.50609,233,845.424289
-37.50002,250,847.228465
-6.6666307,250,847.228465
-9.448962,250,847.228465
-48.012253,250,847.228465
-42.23828,250,847.228465
8.949215,250,872.285932
42.85694,250,874.097088
-73.42205,250,874.097088
116.949356,250,874.097088
38.157745,250,874.097088
-74.44103,250,874.097088
-21.641779,250,899.065241
-1.1407477,250,900.864429
-41.176495,250,900.864429
-36.102276,250,900.864429
-28.030321,250,900.864429
-33.085487,250,900.864429
-123.16592,221,1020.515546
1.7542192,250,1021.757225
-29.765867,250,1023.556414
-33.121025,250,1023.556414
-8.425033,250,1023.556414
-50.49508,250,1023.556414
-32.075478,250,1046.928587
-28.813578,250,1048.207177
-41.35804,250,1050.0273
-16.923182,250,1050.0273
121.05286,250,1050.0273
93.430916,250,1050.0273
13.401861,250,1073.331985
144.44534,250,1074.741217
-34.853455,250,1077.797045
-29.078035,250,1077.797045
-25.65064,250,1077.797045
201.81812,250,1077.797045
-92.30693,139,1102.890018
-36.170223,250,1117.919361
-23.076962,250,1122.305727
175.97487,250,1124.327324
-26.66672,250,1124.327324
40.74044,250,1124.327324
-23.07697,250,1140.133593
-58.95529,250,1149.331021
-34.69389,250,1150.6854
-146.08067,247,1152.23826
-13.194558,250,1152.615252
71.4285,250,1152.615252
7.407214,250,1168.416697
38.80105,250,1177.600143
59.574257,250,1179.094148
-29.999985,250,1180.827513
109.96486,250,1181.27332
-42.652348,250,1181.27332
47.601204,250,1197.601799
18.958887,250,1206.488034
-32.30771,250,1207.79454
22.743423,250,1209.313478
63.20452,250,1209.647584
1.4924028,250,1209.647584
-35.48389,250,1224.407639
-42.953014,250,1232.886962
76.470375,250,1234.169532
-13.857793,250,1235.66208
-43.620197,250,1236.032091
-29.82459,250,1236.032091
125.30924,250,1252.406994
-1.9609464,250,1354.777011
-3.7268388,250,1356.067548
73.333305,250,1357.512683
4.294318,250,1357.877707
-10.852855,250,1357.877707
29.770702,250,1372.3171
212.28116,250,1380.849289
-27.672974,250,1382.123878
218.5195,250,1383.586966
30.908827,250,1383.942016
25.827538,250,1383.942016
178.31761,250,1399.169297
11.110895,250,1408.025719
2.3889146,250,1409.339207
46.78871,250,1410.859142
-22.829659,250,1411.231147
-34.78265,250,1411.231147
132.47334,250,1426.251992
56.351547,250,1434.905859
-67.27282,250,1436.225342
66.00761,250,1437.771208
49.501366,250,1438.142216
-17.431286,250,1438.142216
196.8208,250,1453.465251
62.72158,250,1462.471208
146.24683,250,1463.793644
88.15352,250,1465.36019
97.18323,250,1465.711251
191.94695,250,1465.711251
22.111956,250,1480.631333
-24.460514,250,1489.306135
-21.212208,250,1490.608651
-4.153496,250,1492.136566
181.35692,250,1492.552453
42.85688,250,1492.552453
-19.093801,250,1507.775745
119.69761,250,1516.665985
47.058533,250,1517.954539
6.6665096,250,1519.467493
-41.717823,250,1519.826532
-53.06864,250,1519.826532
183.7845,250,1534.809903
31.147223,250,1543.562497
166.40999,250,1544.820138
40.84475,250,1546.369993
-30.069962,250,1546.710084
7.7842345,250,1546.710084
46.428246,250,1562.888046
29.824299,250,1572.239039
40.793953,250,1573.617353
104.86148,250,1670.358717
93.30898,250,1670.689832
-0.56831187,250,1670.689832
319.3553,250,1685.32669
86.38007,250,1693.807525
179.8751,250,1695.069151
-26.315838,250,1696.545209
257.38892,250,1696.893279
100.68066,250,1696.893279
62.3375,250,1711.573021
44.486435,250,1720.373486
209.85892,250,1721.756792
545.38983,250,1723.363495
312.33798,250,1723.714556
29.746555,250,1723.714556
159.78745,250,1739.009652
66.133995,250,1747.900133
406.62238,250,1749.227583
100.0004,250,1750.704116
339.59814,250,1751.052184
174.64864,250,1751.052184
165.061,250,1765.882354
-13.207656,250,1774.753631
292.15793,250,1776.101026
246.80228,250,1777.666839
475.30188,250,1778.018899
197.94606,250,1778.018899
294.6499,250,1793.197312
218.99731,250,1801.833218
209.6095,250,1803.165654
343.3334,250,1804.711521
161.90533,250,1805.073552
350.79376,250,1805.073552
307.4079,250,1820.262931
159.13687,250,1829.03946
181.25075,250,1830.338985
673.0775,250,1831.873881
676.2708,250,1832.261842
336.42676,250,1832.261842
403.52124,250,1847.685488
415.90173,250,1856.382229
84.71345,250,1857.727633
264.74203,250,1859.237594
127.58714,250,1859.593642
157.32956,250,1859.593642
-19.11774,250,1875.790327
379.0208,250,1885.262365
39.53456,250,1886.68556
102.81677,250,1888.348121
92.857346,250,1888.718132
195.13953,250,1888.718132
23.809328,250,1999.049194
601.63916,250,2007.748935
280.19254,250,2009.099323
600.7575,250,2010.669127
761.9396,250,2011.038139
434.24695,250,2011.038139
181.96819,250,2026.330262
328.1355,250,2035.299275
423.0767,250,2036.666619
264.28632,250,2038.174586
420.12448,250,2038.526645
356.6668,250,2038.526645
44.653778,250,2053.869613
403.59738,250,2062.730926
362.3294,250,2064.073337
194.8727,250,2065.565347
183.91272,250,2065.928376
576.1896,250,2065.928376
337.8707,250,2080.725802
377.73398,250,2089.246843
85.03963,250,2090.513455
329.0785,250,2091.94762
494.1554,250,2092.313642
260.295,250,2092.313642
225.42474,250,2107.097085
211.32172,250,2115.767982
338.9324,250,2117.053544
80.00014,250,2118.617363
215.57426,250,2118.983384
291.45996,250,2118.983384
244.05194,250,2134.174187
499.999,250,2143.103945
179.41269,250,2144.451342
348.71823,250,2146.015167
752.7399,250,2146.386175
629.09674,250,2146.386175
80.327896,250,2161.530406
12.499781,250,2170.415644
15.254009,250,2171.745088
356.74835,250,2173.294943
453.7978,250,2173.667947
706.33887,250,2173.667947
212.31294,250,2190.099298
440.14636,250,2199.848744
482.49274,250,2201.254982
452.3808,250,2202.896592
311.76566,250,2203.312479
710.63086,250,2203.313477
812.40875,250,2313.241732
214.17612,250,2322.052225
792.59344,250,2323.404609
677.09045,250,2324.927536
