#{"t_start": 1701079402.4124367, "env_id": "None"}
r,l,t
-78.647835,250,49.043225
-46.32775,250,49.043225
-37.06292,250,49.043225
-53.79543,250,49.043225
-59.11958,250,49.044223
-70.6961,250,49.044223
-62.8484,250,97.103369
-37.908493,250,97.103369
-22.297276,250,97.103369
-49.790833,250,97.103369
-58.620773,250,97.103369
-46.428577,250,97.103369
-36.66664,250,125.782924
-48.63017,250,125.782924
-13.669058,250,125.782924
-30.693024,250,125.782924
-32.86216,250,125.782924
-60.000088,250,125.782924
-54.39744,250,154.557855
-63.76821,250,154.557855
-71.33773,250,154.557855
-38.628136,250,154.557855
-56.5218,250,154.557855
-24.731157,250,154.557855
-27.756605,250,181.238171
-41.605846,250,181.238171
-37.28221,250,181.238171
-50.381718,250,181.238171
-42.67514,250,181.239167
-46.99649,250,181.239167
-50.877224,250,207.599166
-42.307747,250,207.599166
-26.199238,250,207.599166
-33.993378,250,207.599166
-59.18375,250,207.599166
-61.672565,250,207.599166
-48.88184,250,234.138177
-56.83461,250,234.138177
-37.313408,250,234.138177
-39.68255,250,234.138177
-27.203043,250,234.138177
-37.03706,250,234.138177
-66.29224,250,260.834666
-59.10788,250,260.834666
-9.774402,250,260.834666
-62.382545,250,260.834666
-64.16948,250,260.834666
-40.78955,250,260.834666
-21.146917,250,422.939314
-31.972746,250,422.939314
-60.26499,250,422.939314
-19.191875,250,422.939314
-42.446037,250,422.939314
-24.460398,250,422.939314
-43.33335,250,450.61728
50.735,250,450.61728
-71.73158,250,450.61728
-22.330029,250,450.61728
-41.00294,250,450.61728
-40.520435,250,450.61728
-145.61188,208,474.440546
-71.875114,250,479.416249
-19.73239,250,479.417247
-73.154495,250,479.417247
-36.908497,250,479.417247
-33.098537,250,479.417247
-53.416214,250,501.864197
-27.586203,250,506.20387
-19.298315,250,506.20387
-25.925932,250,506.20387
-51.661766,250,506.20387
-79.66117,250,506.20387
-51.965115,250,527.666143
-56.081158,250,532.110549
-74.921776,250,532.110549
-25.92592,250,532.110549
2.7397547,250,532.110549
-11.04304,250,532.110549
