#{"t_start": 1701180557.040684, "env_id": "None"}
r,l,t
504.9831,250,49.436056
631.6389,250,49.436056
886.0133,250,49.436056
461.05652,250,49.436056
658.5144,250,97.872524
743.1377,250,97.872524
727.7034,250,97.872524
745.1887,250,97.872524
829.9998,250,123.497971
810.95935,250,123.498969
896.40436,250,123.498969
451.15552,250,123.498969
908.6007,229,148.172457
629.641,250,150.80342
648.40704,250,150.80342
863.89667,250,150.80342
912.1002,220,172.447537
913.60077,216,174.249072
656.09705,250,177.891332
808.3972,250,177.891332
701.2798,250,197.184048
373.68372,250,198.830378
888.9308,250,202.128558
626.0723,250,202.128558
856.83563,250,222.295646
641.2119,250,223.992111
482.09048,250,227.3242
112.69918,250,227.3242
877.6931,250,247.091406
870.0381,250,248.90356
911.0985,223,250.224152
514.4192,250,254.992803
172.10986,250,381.579157
878.49286,250,386.845289
664.899,250,387.758846
886.52985,250,390.293069
881.61804,250,411.035256
36.66638,250,412.85341
861.12866,250,413.627339
395.14594,250,416.647264
828.81226,250,439.680425
771.87354,250,441.731945
902.39813,244,441.903487
836.24084,250,445.749722
36.645645,250,466.107933
905.9995,235,466.451015
310.34485,250,467.886176
839.39233,250,471.298053
860.69684,250,491.576048
304.38986,250,491.925119
622.97455,250,493.718324
516.1606,250,497.741077
917.4016,207,515.091125
910.4976,224,516.661924
785.2439,250,520.883634
735.7663,250,524.059148
906.2019,235,539.086045
716.3911,250,539.265563
813.2085,250,544.992248
904.0003,240,547.270156
825.6971,250,564.565587
627.5739,250,564.697236
538.3633,250,570.246119
803.8443,250,572.497033
609.89545,250,682.064562
637.4091,250,682.198205
664.7042,250,687.738795
484.26947,250,690.000748
155.31908,250,706.449645
211.6436,250,706.597251
28.027424,250,713.30183
61.07351,250,715.895897
63.580093,250,734.896603
-37.31346,250,735.041215
185.2239,250,741.350344
65.56267,250,743.905646
30.91923,250,762.056632
97.87967,250,762.21022
207.44362,250,769.384034
-21.311525,250,771.826014
0.35835555,250,789.509986
-14.179189,250,789.651609
152.70746,250,795.617753
36.841805,250,797.997394
-18.75003,250,816.458538
-3.3333733,250,816.614121
274.99997,250,823.322182
230.70876,250,825.913251
23.376575,250,842.144026
86.04639,250,842.263705
195.71948,250,847.904631
-5.0848536,250,850.2051
112.927505,250,866.98645
138.23534,250,867.109122
187.31375,250,872.607227
126.83687,250,874.967914
134.11435,250,988.651015
-20.382193,250,988.763713
-29.824617,250,994.272781
97.80185,250,996.645947
162.34567,250,1014.110075
143.07701,250,1014.230752
171.18642,250,1019.60675
205.26291,250,1021.953474
36.807556,250,1038.578948
41.84383,250,1038.710596
207.40749,250,1044.278868
-29.368095,250,1048.711028
159.74039,250,1080.823952
29.999939,250,1081.061318
188.4616,250,1095.100871
-21.383665,250,1097.453579
73.610855,250,1114.475097
145.9675,250,1114.624697
6.122343,250,1120.400764
67.83211,250,1122.927007
56.58339,250,1140.402788
63.33329,250,1140.529449
34.75149,250,1146.620907
103.703606,250,1149.407963
140.35587,250,1167.870822
102.165764,250,1167.998481
223.07767,250,1174.030348
47.60133,250,1176.382417
81.00888,250,1196.89457
-17.60311,250,1197.053147
127.941246,250,1202.7216
208.24406,250,1205.525612
-50.920284,250,1224.926042
16.666449,250,1225.074398
145.34138,250,1330.311718
-35.18518,250,1332.525808
67.27256,250,1348.553028
-11.111255,250,1348.669715
170.44049,250,1354.221999
251.14508,250,1356.638965
-32.475933,250,1373.018692
218.0435,250,1373.150341
-21.50179,250,1379.160269
81.22948,250,1381.427206
-16.943554,250,1397.136505
2.766614,250,1397.267152
74.54522,250,1403.530457
243.17413,250,1406.019693
105.63363,250,1423.396671
18.466656,250,1423.556244
-39.939976,250,1429.414655
73.14458,250,1431.797534
-28.81362,250,1447.665827
-20.127897,250,1447.785507
121.21229,250,1453.288795
5.610368,250,1455.658458
-11.04304,250,1471.541533
-33.333374,250,1471.657221
1.3070505,250,1477.433008
0.32344684,250,1480.103818
8.391426,250,1497.149288
-26.056396,250,1497.282931
0.38595447,250,1502.645402
31.756464,250,1504.853497
48.698597,250,1521.68551
90.97202,250,1521.804192
69.67476,250,1527.394249
35.713943,250,1530.038177
78.6939,250,1643.895312
-33.333378,250,1644.034938
116.981026,250,1649.654128
-16.129114,250,1652.140987
-18.831215,250,1668.293075
52.482098,250,1668.412755
-8.450757,250,1674.240182
68.83096,250,1676.619817
4.026675,250,1692.923229
-31.428568,250,1693.041911
-23.841133,250,1698.419042
49.46612,250,1700.776742
-27.710836,250,1717.226298
-12.45798,250,1717.360936
96.0782,250,1722.955995
4.4175982,250,1725.139894
-7.738175,250,1740.795061
-16.666763,250,1740.911751
-18.149494,250,1746.301337
-29.765944,250,1748.557308
-8.47454,250,1764.24237
73.07663,250,1764.456796
31.94414,250,1770.015729
25.92582,250,1772.41522
-20.689766,250,1789.901777
48.935844,250,1790.03143
14.649475,250,1795.33625
72.535126,250,1797.673
67.85682,250,1813.797153
-43.662018,250,1813.915835
-23.588055,250,1819.750637
13.970364,250,1822.397557
94.029686,250,1930.769467
-9.091023,250,1930.898122
-10.543155,250,1936.249815
-23.809547,250,1938.555654
-25.69661,250,1954.372956
78.57118,250,1954.488646
-19.999952,250,1959.891627
90.16359,250,1962.220189
-14.826534,250,1978.10427
21.794708,250,1978.217966
225.3428,250,1983.474349
79.24515,250,1985.741293
72.077805,250,2002.177211
41.843876,250,2002.342768
61.41707,250,2008.668144
-20.118345,250,2011.683407
55.737495,250,2028.603419
63.333084,250,2028.721103
45.037872,250,2034.431722
-11.864535,250,2037.17981
16.438269,250,2053.122217
5.769183,250,2053.236911
41.176453,250,2058.450974
-6.7523913,250,2060.657074
4.4303017,250,2075.921387
124.913376,250,2076.029099
133.89804,250,2081.15441
-21.311525,250,2083.387449
142.21442,250,2099.393185
188.88937,250,2099.520843
4.3769627,250,2104.887009
-21.921955,250,2107.207803
0.6943693,250,2221.853496
26.934849,250,2221.983148
48.147957,250,2227.506653
56.934177,250,2229.749668
220.89572,250,2246.633428
22.743504,250,2246.771059
77.25722,250,2252.509712
70.64821,250,2254.921519
144.22472,250,2271.301839
-21.21211,250,2271.419524
-23.753613,250,2277.014578
60.130417,250,2279.30047
211.82843,250,2296.025235
193.03998,250,2296.160872
138.28128,250,2301.84265
126.48093,250,2304.28109
-7.473385,250,2320.956869
55.79688,250,2321.081536
175.31645,250,2326.703533
77.419044,250,2329.020342
169.50365,250,2345.151493
105.57462,250,2345.287131
176.97868,250,2350.708293
76.67812,250,2353.417714
24.99984,250,2370.115638
45.110317,250,2370.266008
185.17148,250,2376.206187
-42.307728,250,2380.486712
251.77856,250,2414.739159
-16.66676,250,2415.045339
-34.472984,250,2429.457799
-13.533908,250,2431.986039
87.09658,250,2561.677808
41.304092,250,2561.846357
75.43849,250,2567.477761
23.745657,250,2569.900446
122.95055,250,2587.144308
43.32226,250,2587.27795
87.30147,250,2593.215072
133.21555,250,2595.698437
169.89684,250,2612.490211
-11.764799,250,2612.627842
45.762486,250,2618.222884
191.66655,250,2620.571621
229.74934,250,2638.73405
85.053276,250,2638.865697
23.134123,250,2645.225689
-20.529741,250,2647.677133
71.532715,250,2665.488811
68.316536,250,2665.679302
24.528162,250,2671.470819
46.179077,250,2673.875389
163.1577,250,2690.056642
121.47634,250,2690.167346
18.279358,250,2695.751415
166.43597,250,2697.97347
-13.978604,250,2714.333732
70.8332,250,2714.468372
200.7517,250,2720.388011
202.78893,250,2722.977088
168.13916,250,2739.641935
-4.0592136,250,2739.756629
249.44263,250,2745.466044
46.268623,250,2747.99927
97.98648,250,2765.451299
173.33334,250,2765.60589
151.46225,250,2870.120977
74.75716,250,2872.388913
61.0737,250,2889.512979
84.46566,250,2889.644627
245.07059,250,2895.291519
39.85994,250,2897.660183
171.47762,250,2913.826636
223.4206,250,2913.958282
144.52533,250,2919.723863
135.29424,250,2921.97307
