#{"t_start": 1701183612.5892754, "env_id": "None"}
r,l,t
504.9831,250,48.811337
631.6389,250,48.811337
886.0133,250,48.811337
461.05652,250,48.811337
658.5144,250,94.482613
743.1377,250,94.483611
727.7034,250,94.483611
745.1887,250,94.483611
829.9998,250,118.102645
810.95935,250,118.102645
896.40436,250,118.102645
451.15552,250,118.102645
908.6007,229,140.588531
629.641,250,142.679939
648.40704,250,142.680937
863.89667,250,142.680937
912.1002,220,161.177482
913.60077,216,162.73033
656.09705,250,165.831044
808.3972,250,165.832042
701.2798,250,183.695976
373.68372,250,185.227879
888.9308,250,188.25878
626.0723,250,188.25878
856.83563,250,206.408282
641.2119,250,207.996035
482.09048,250,211.065131
112.69918,250,211.065131
877.6931,250,228.760813
870.0381,250,230.367521
911.0985,223,231.468588
514.4192,250,235.954602
172.10986,250,364.858828
878.49286,250,369.59915
664.899,250,370.265369
886.52985,250,372.750721
881.61804,250,391.535698
36.66638,250,393.220202
861.12866,250,393.943268
395.14594,250,396.687335
828.81226,250,416.236385
771.87354,250,418.002737
902.39813,244,418.137378
836.24084,250,421.423589
36.645645,250,439.934663
905.9995,235,440.209926
310.34485,250,441.581258
839.39233,250,444.644068
860.69684,250,462.707217
304.38986,250,463.023371
622.97455,250,464.257073
516.1606,250,467.332847
917.4016,207,481.494974
910.4976,224,482.791506
785.2439,250,486.611299
735.7663,250,489.63222
906.2019,235,503.846214
716.3911,250,503.966891
813.2085,250,509.114141
904.0003,240,511.312264
825.6971,250,526.703038
627.5739,250,526.813742
538.3633,250,531.976934
803.8443,250,534.172063
609.89545,250,636.428546
637.4091,250,636.536259
664.7042,250,641.378308
484.26947,250,643.462735
155.31908,250,658.036773
211.6436,250,658.150468
28.027424,250,663.373512
61.07351,250,665.547703
63.580093,250,681.09813
-37.31346,250,681.216814
185.2239,250,687.579451
65.56267,250,690.059412
30.91923,250,709.723466
97.87967,250,709.864447
207.44362,250,715.957437
-21.311525,250,718.942777
0.35835555,250,737.010257
-14.179189,250,737.132197
152.70746,250,742.908218
36.841805,250,745.34017
-18.75003,250,762.481054
-3.3333733,250,762.636758
274.99997,250,768.267701
230.70876,250,770.604222
23.376575,250,786.906031
86.04639,250,787.030993
195.71948,250,793.218561
-5.0848536,250,795.914054
112.927505,250,812.703188
138.23534,250,812.832127
187.31375,250,818.416092
126.83687,250,820.906179
134.11435,250,941.192531
-20.382193,250,941.327178
-29.824617,250,948.297956
97.80185,250,950.795662
162.34567,250,966.915956
143.07701,250,967.074532
171.18642,250,973.651097
205.26291,250,976.205168
36.807556,250,994.214042
41.84383,250,994.348834
207.40749,250,999.840952
-29.368095,250,1004.142739
159.74039,250,1036.743552
29.999939,250,1036.967326
188.4616,250,1053.352873
-21.383665,250,1055.984004
73.610855,250,1073.152417
145.9675,250,1073.275419
6.122343,250,1079.226372
67.83211,250,1081.722382
56.58339,250,1099.451338
63.33329,250,1099.582572
34.75149,250,1105.835445
103.703606,250,1108.564431
140.35587,250,1126.49028
102.165764,250,1126.622215
223.07767,250,1132.495845
47.60133,250,1135.375354
81.00888,250,1153.358782
-17.60311,250,1153.492425
127.941246,250,1159.359297
208.24406,250,1161.762382
-50.920284,250,1178.509908
16.666449,250,1178.636568
145.34138,250,1290.656904
-35.18518,250,1293.491973
67.27256,250,1311.389739
-11.111255,250,1311.549256
170.44049,250,1319.528157
251.14508,250,1322.612773
-32.475933,250,1341.112819
218.0435,250,1341.269258
-21.50179,250,1348.261559
81.22948,250,1350.813737
-16.943554,250,1368.338076
2.766614,250,1368.493753
74.54522,250,1374.327724
243.17413,250,1376.897277
105.63363,250,1396.562449
18.466656,250,1396.694397
-39.939976,250,1402.844552
73.14458,250,1405.470735
-28.81362,250,1423.860856
-20.127897,250,1424.016528
121.21229,250,1429.876518
5.610368,250,1432.538814
-11.04304,250,1451.242735
-33.333374,250,1451.394722
1.3070505,250,1457.477629
0.32344684,250,1460.06918
8.391426,250,1477.928634
-26.056396,250,1478.057771
0.38595447,250,1484.062672
31.756464,250,1486.701645
48.698597,250,1505.311692
90.97202,250,1505.452977
69.67476,250,1511.532641
35.713943,250,1514.058605
78.6939,250,1641.71961
-33.333378,250,1641.90858
116.981026,250,1647.623707
-16.129114,250,1650.1107
-18.831215,250,1668.832812
52.482098,250,1668.97506
-8.450757,250,1675.089063
68.83096,250,1677.730643
4.026675,250,1695.839641
-31.428568,250,1695.990628
-23.841133,250,1701.726022
49.46612,250,1704.191589
-27.710836,250,1721.465948
-12.45798,250,1721.598607
96.0782,250,1728.285668
4.4175982,250,1730.831949
-7.738175,250,1748.39577
-16.666763,250,1748.530567
-18.149494,250,1754.451669
-29.765944,250,1756.882465
-8.47454,250,1774.08647
73.07663,250,1774.293826
31.94414,250,1780.383399
25.92582,250,1783.01255
-20.689766,250,1800.978514
48.935844,250,1801.113021
14.649475,250,1807.143522
72.535126,250,1809.714523
67.85682,250,1827.595833
-43.662018,250,1827.72545
-23.588055,250,1833.476473
13.970364,250,1835.936652
94.029686,250,1948.914519
-9.091023,250,1949.031207
-10.543155,250,1954.224324
-23.809547,250,1956.391528
-25.69661,250,1971.748829
78.57118,250,1971.872499
-19.999952,250,1977.074597
90.16359,250,1979.261747
-14.826534,250,1994.48278
21.794708,250,1994.610438
225.3428,250,1999.793926
79.24515,250,2001.971112
72.077805,250,2017.224349
41.843876,250,2017.329067
61.41707,250,2022.517925
-20.118345,250,2024.716255
55.737495,250,2039.528658
63.333084,250,2039.652327
45.037872,250,2044.646969
-11.864535,250,2046.830132
16.438269,250,2062.101324
5.769183,250,2062.209037
41.176453,250,2067.337322
-6.7523913,250,2069.512518
4.4303017,250,2084.555287
124.913376,250,2084.677961
133.89804,250,2089.727314
-21.311525,250,2091.883549
142.21442,250,2106.913194
188.88937,250,2107.017913
4.3769627,250,2112.098328
-21.921955,250,2114.317392
0.6943693,250,2220.715714
26.934849,250,2220.830407
48.147957,250,2225.900336
56.934177,250,2228.082507
220.89572,250,2243.187872
22.743504,250,2243.310529
77.25722,250,2248.385968
70.64821,250,2250.589075
144.22472,250,2265.808393
-21.21211,250,2265.918101
-23.753613,250,2271.105234
60.130417,250,2273.29039
211.82843,250,2288.097807
193.03998,250,2288.20153
138.28128,250,2293.263006
126.48093,250,2295.405277
-7.473385,250,2310.421121
55.79688,250,2310.530827
175.31645,250,2315.716957
77.419044,250,2317.850252
169.50365,250,2332.684612
105.57462,250,2332.795316
176.97868,250,2337.813895
76.67812,250,2339.960156
24.99984,250,2355.042284
45.110317,250,2355.160967
185.17148,250,2360.436857
-42.307728,250,2364.421202
251.77856,250,2393.307828
-16.66676,250,2393.501311
-34.472984,250,2406.410432
-13.533908,250,2408.808021
87.09658,250,2526.693318
41.304092,250,2526.813977
75.43849,250,2532.666836
23.745657,250,2535.405511
122.95055,250,2554.563421
43.32226,250,2554.734963
87.30147,250,2562.036438
133.21555,250,2565.893122
169.89684,250,2584.179588
-11.764799,250,2584.316223
45.762486,250,2590.007959
191.66655,250,2592.463392
229.74934,250,2611.560709
85.053276,250,2611.72867
23.134123,250,2618.695307
-20.529741,250,2621.332347
71.532715,250,2639.838585
68.316536,250,2639.982831
24.528162,250,2646.528527
46.179077,250,2649.296382
163.1577,250,2666.00568
121.47634,250,2666.134336
18.279358,250,2671.501144
166.43597,250,2673.740158
-13.978604,250,2690.511707
70.8332,250,2690.640806
200.7517,250,2696.399137
202.78893,250,2699.259266
168.13916,250,2716.939291
-4.0592136,250,2717.062098
249.44263,250,2722.818283
46.268623,250,2725.42455
97.98648,250,2743.104126
173.33334,250,2743.231097
151.46225,250,2856.531741
74.75716,250,2858.968332
61.0737,250,2877.072857
84.46566,250,2877.197118
245.07059,250,2882.875089
39.85994,250,2885.663775
171.47762,250,2903.857714
223.4206,250,2904.009705
144.52533,250,2909.849447
135.29424,250,2912.356263
71.17096,250,2931.1237
159.8685,250,2931.262749
161.99263,250,2937.334604
224.15962,250,2939.908574
52.380817,250,2958.382362
264.3731,250,2958.517416
251.25476,250,2964.043921
53.060974,250,2966.419715
67.76285,250,2983.78608
147.55727,250,2983.936678
131.03479,250,2990.030573
169.50357,250,2992.702428
118.39061,250,3011.275822
217.51851,250,3011.417445
184.72234,250,3017.731079
226.46013,250,3020.730235
95.121605,250,3037.770535
147.49171,250,3037.896219
21.211946,250,3043.890956
153.47195,250,3046.596809
240.00009,250,3065.039498
98.71798,250,3065.175358
67.272484,250,3071.275066
28.472065,250,3181.943266
54.981274,250,3200.496547
-2.5156765,250,3200.631113
86.23453,250,3206.744659
255.26352,250,3209.465586
118.54271,250,3227.547683
156.8808,250,3227.703132
