#{"t_start": 1700936327.5328043, "env_id": "None"}
r,l,t
-78.647835,250,45.041888
-46.32775,250,45.041888
-37.06292,250,45.041888
-53.79543,250,45.041888
-62.8484,250,89.044315
-37.908493,250,89.044315
-22.297276,250,89.044315
-49.790833,250,89.044315
-36.66664,250,112.566546
-48.63017,250,112.566546
-13.669058,250,112.566546
-30.693024,250,112.566546
-54.39744,250,136.897977
-63.76821,250,136.898975
-71.33773,250,136.898975
-38.628136,250,136.898975
-27.756605,250,160.128028
-41.605846,250,160.128028
-37.28221,250,160.128028
-50.381718,250,160.128028
-50.877224,250,181.951972
-42.307747,250,181.951972
-26.199238,250,181.951972
-33.993378,250,181.951972
-48.88184,250,203.715562
-56.83461,250,203.71656
-37.313408,250,203.71656
-39.68255,250,203.71656
-66.29224,250,225.337651
-59.10788,250,225.337651
-9.774402,250,225.337651
-62.382545,250,225.337651
-17.562687,250,343.335874
-69.38787,250,343.335874
-60.26499,250,343.335874
-49.495014,250,343.335874
-36.666676,250,367.059821
-41.17645,250,367.059821
-61.130825,250,367.059821
-64.40138,250,367.059821
-145.61188,208,386.975564
-3.1249533,250,391.065603
43.81257,250,391.065603
-63.087337,250,391.065603
-72.04982,250,410.442407
-24.138006,250,414.270096
-19.298315,250,414.270096
-42.760933,250,414.270096
-51.965115,250,434.28313
-59.459538,250,438.007176
-40.438866,250,438.007176
-32.659874,250,438.007176
-32.384293,250,456.29895
-50.819695,250,460.095814
-15.662719,250,460.095814
-45.25554,250,460.095814
-33.098625,250,478.298691
-39.622646,250,481.973877
-50.8197,250,481.973877
-1.459979,250,481.973877
-34.984512,250,500.290024
-24.528296,250,504.029035
-43.521595,250,504.029035
-55.128258,250,504.029035
-48.8056,250,602.588537
-26.470552,250,606.14902
-17.26619,250,606.14902
-73.782906,250,606.14902
-64.53914,250,624.439941
-51.557156,250,628.200397
-31.50678,250,628.200397
-46.308727,250,628.200397
-56.79017,250,646.884499
133.67677,250,650.710113
-52.238903,250,650.710113
-27.152302,250,650.710113
-19.220022,250,669.213339
-35.275047,250,672.848004
20.141388,250,672.848004
-60.655807,250,672.848004
-46.23656,250,692.186314
-45.84841,250,696.173656
-70.14936,250,696.173656
-5.2632976,250,696.173656
-31.250017,250,715.555921
-39.39391,250,719.555758
-73.333466,250,719.555758
-80.31512,250,719.555758
-28.571472,250,737.673347
-33.85208,250,741.414362
2.9900775,250,741.414362
-55.932255,250,741.414362
-65.779594,250,760.026801
-51.492638,250,763.732903
-55.8824,250,763.732903
-52.076706,250,763.732903
-43.143814,250,867.688967
-19.298326,250,871.306299
-29.936335,250,871.306299
17.215876,250,871.306299
63.58007,250,889.384742
-32.203423,250,893.052937
-29.230812,250,893.052937
-1.7545332,250,893.052937
-44.62541,250,911.206044
-7.4073615,250,914.948041
-36.170166,250,914.948041
-18.215717,250,914.948041
-67.53257,250,949.081354
-42.307724,250,957.738754
-33.333344,250,957.738754
-59.11956,250,957.738754
14.583145,250,976.75822
-14.285838,250,980.724128
-11.290418,250,980.724128
-19.580496,250,980.724128
-43.060513,250,1000.163285
17.021286,250,1004.272815
-26.66672,250,1004.272815
-18.518621,250,1004.272815
-37.685482,250,1023.716786
10.769131,250,1027.752
33.573692,250,1027.752
-44.649494,250,1027.752
-5.0445185,250,1047.614827
6.6174755,250,1051.519394
-13.857793,250,1051.519394
-24.731236,250,1051.519394
-41.71779,250,1151.690298
-28.571411,250,1155.373724
16.666456,250,1155.373724
-41.357994,250,1155.373724
41.817932,250,1173.009607
-37.10695,250,1176.649885
55.555332,250,1176.649885
29.770702,250,1176.649885
41.47886,250,1194.877155
-59.044426,250,1198.528395
-11.315099,250,1198.528395
-57.928856,250,1198.528395
-20.265863,250,1216.51382
-12.727246,250,1220.207946
54.14995,250,1220.207946
-22.509321,250,1220.207946
-66.19731,250,1238.560907
119.21919,250,1242.251142
25.435266,250,1242.252139
-22.261562,250,1242.252139
-55.93226,250,1260.501012
87.878494,250,1264.443981
-64.856316,250,1264.443981
-30.69311,250,1264.443981
-69.325264,250,1282.43049
-41.176502,250,1286.031072
53.333084,250,1286.031072
-22.330143,250,1286.031072
-30.069859,250,1304.28129
46.71788,250,1307.847757
-22.535261,250,1307.847757
-42.56761,250,1307.847757
41.26365,250,1327.014538
40.793915,250,1414.424411
21.527697,250,1414.424411
49.99965,250,1414.424411
192.09651,250,1432.53813
16.351967,250,1436.160447
110.52661,250,1436.160447
-29.03224,250,1436.160447
-28.571484,250,1453.956294
-19.0141,250,1457.572635
34.751526,250,1457.572635
52.597176,250,1457.572635
-9.396106,250,1475.242804
-27.15237,250,1478.891062
-42.857166,250,1478.891062
-25.266975,250,1478.891062
-12.650641,250,1497.104637
68.62737,250,1500.772832
85.185425,250,1500.772832
-3.6145093,250,1500.772832
-40.476223,250,1518.476917
28.113636,250,1522.138012
203.33339,250,1522.138012
-53.1773,250,1522.138012
66.10143,250,1540.142522
63.19416,250,1543.836648
84.61558,250,1543.836648
225.92699,250,1543.836648
75.86194,250,1561.87223
-58.59878,250,1565.473604
39.817352,250,1565.473604
-29.577503,250,1565.473604
