#{"t_start": 1701106442.4911065, "env_id": "None"}
r,l,t
-78.647835,250,39.011441
-46.32775,250,39.012442
-37.06292,250,39.012442
-53.79543,250,39.012442
-62.8484,250,74.312642
-37.908493,250,74.312642
-22.297276,250,74.312642
-49.790833,250,74.312642
-36.66664,250,94.71146
-48.63017,250,94.71146
-13.669058,250,94.71146
-30.693024,250,94.71146
-54.39744,250,115.193604
-63.76821,250,115.193604
-71.33773,250,115.193604
-38.628136,250,115.193604
-27.756605,250,136.063967
-41.605846,250,136.063967
-37.28221,250,136.063967
-50.381718,250,136.063967
-50.877224,250,157.23501
-42.307747,250,157.23501
-26.199238,250,157.23501
-33.993378,250,157.23501
-48.88184,250,177.468389
-56.83461,250,177.468389
-37.313408,250,177.468389
-39.68255,250,177.470389
-66.29224,250,197.373294
-59.10788,250,197.373294
-9.774402,250,197.373294
-62.382545,250,197.373294
-17.562687,250,295.824483
-69.38787,250,295.824483
-60.26499,250,295.824483
-73.0641,250,295.824483
13.333239,250,316.471504
2.9410052,250,316.472506
-22.261444,250,316.472506
-64.40138,250,316.472506
-78.125145,250,336.679096
-52.54241,250,336.679096
-16.38793,250,336.679096
-66.443054,250,336.679096
44.827393,250,356.235984
-72.04982,250,356.235984
-19.298315,250,356.235984
17.844944,250,356.235984
-59.459538,250,376.601112
-43.23143,250,376.601112
-40.438866,250,376.601112
-32.659874,250,376.601112
-54.098396,250,396.2498
-67.971634,250,396.2498
-39.759018,250,396.2498
-48.905174,250,396.2498
-16.981115,250,416.083608
-64.78882,250,416.083608
-50.8197,250,416.083608
20.437857,250,416.083608
-27.672945,250,437.508926
-47.368458,250,437.508926
-23.587988,250,437.508926
-55.128258,250,437.508926
-8.088246,250,522.724304
-45.392513,250,522.724304
-17.26619,250,522.724304
-47.565655,250,522.724304
-55.017387,250,542.027311
-25.531975,250,542.027311
-34.931477,250,542.027311
-42.953007,250,542.027311
-34.707905,250,561.568225
-47.53093,250,561.569227
-40.298515,250,561.569227
-30.463594,250,561.569227
-150.15576,224,579.01993
-41.747585,250,580.984698
-52.64629,250,580.984698
-54.063637,250,580.984698
-106.172066,244,598.209787
-141.9686,223,598.591394
-28.315357,250,600.781781
-70.14936,250,600.781781
-56.69296,250,617.428345
-43.18182,250,617.817569
-56.250046,250,619.980309
-76.66682,250,619.980309
-125.222,165,630.177543
-64.98066,250,637.047271
-44.805187,250,639.174988
-40.199326,250,639.174988
-58.466568,250,649.839505
-29.104443,250,656.920034
-20.15211,250,659.067393
-32.35294,250,659.067393
-37.728912,250,670.075395
-29.824572,250,740.281853
-73.24427,250,742.363273
-33.121037,250,742.363273
-54.386013,250,752.655968
-22.033974,250,759.442687
-47.530876,250,761.581926
-32.307716,250,761.581926
-33.08555,250,771.877727
3.703545,250,779.084692
-34.853413,250,782.762937
-75.17744,250,782.762937
0.62876606,250,800.21241
-29.487198,250,813.627408
-57.792255,250,815.76834
-46.666702,250,815.76834
-33.566456,250,826.427998
-18.367447,250,833.50895
-23.611153,250,835.643808
-15.322522,250,835.644807
29.629337,250,846.342983
-0.7093489,250,853.353656
35.23107,250,855.516983
-26.66672,250,855.516983
32.84104,250,866.294751
-47.692383,250,873.473946
-67.359146,250,875.63252
15.523235,250,875.63252
-64.15778,250,886.316458
-30.147102,250,893.598074
95.84594,250,895.802216
-13.857793,250,895.802216
-50.61733,250,906.946551
-72.04981,250,978.040089
-60.122765,250,980.139487
66.66642,250,980.139487
-23.664192,250,990.112948
-37.106937,250,996.897643
-45.45458,250,998.918142
-3.703859,250,998.919142
-25.566402,250,1009.141026
74.061424,250,1015.949887
-144.73766,249,1017.884015
196.63676,250,1017.970547
-26.199322,250,1028.226398
12.727064,250,1035.063881
-13.621358,250,1037.130294
-40.711475,250,1037.225821
-25.795118,250,1047.987087
-60.961037,250,1055.150914
35.210968,250,1057.181846
18.466663,250,1057.280427
8.910694,250,1067.538502
-0.0001600325,250,1074.614497
-32.203415,250,1076.619061
-39.29717,250,1076.713638
3.5596867,250,1087.059979
230.06636,250,1094.058229
-14.110545,250,1096.03289
