#{"t_start": 1701219911.8051705, "env_id": "None"}
r,l,t
-78.647835,250,54.295808
-46.32775,250,54.29681
-37.06292,250,54.29681
-53.79543,250,54.29681
-62.8484,250,104.484426
-37.908493,250,104.484426
-22.297276,250,104.484426
-49.790833,250,104.484426
-36.66664,250,133.023756
-48.63017,250,133.023756
-13.669058,250,133.02476
-30.693024,250,133.02476
-54.39744,250,160.849657
-63.76821,250,160.850658
-71.33773,250,160.850658
-38.628136,250,160.850658
-27.756605,250,187.431298
-41.605846,250,187.431298
-37.28221,250,187.431298
-50.381718,250,187.431298
-50.877224,250,214.270704
-42.307747,250,214.270704
-26.199238,250,214.270704
-33.993378,250,214.270704
-48.88184,250,239.636096
-56.83461,250,239.636096
-37.313408,250,239.640301
-39.68255,250,239.640301
-66.29224,250,265.731275
-59.10788,250,265.731275
-9.774402,250,265.731275
-62.382545,250,265.731275
-21.146915,250,410.344124
-62.585144,250,410.344124
-60.26499,250,410.344124
-49.495014,250,410.344124
-43.33336,250,440.509512
-0.7354529,250,440.509512
-61.130825,250,440.509512
-64.40138,250,440.509512
-144.41187,205,461.660097
-59.375145,250,466.360594
-26.42135,250,466.360594
-66.443054,250,466.360594
-62.73301,250,490.217699
-20.689747,250,496.16371
-19.298315,250,496.16371
-49.494972,250,496.16371
-51.965107,250,516.245136
-42.56758,250,520.110577
-40.438866,250,520.110577
-19.19194,250,520.110577
-25.26693,250,536.950478
-57.377106,250,540.529069
-39.75902,250,540.529069
-52.55481,250,540.529069
-47.183098,250,556.509533
-20.754677,250,559.962731
-50.8197,250,559.962731
-27.007332,250,559.962731
-22.600594,250,576.786857
-30.81759,250,580.785333
2.990045,250,580.785333
-55.12825,250,580.78633
-62.457466,250,667.371207
-22.794067,250,670.882668
-20.863298,250,670.882668
-36.32969,250,670.882668
-39.716305,250,687.901992
-55.017387,250,692.103756
-45.20547,250,692.103756
-29.53019,250,692.103756
-62.96304,250,708.840306
20.274662,250,712.489653
-37.313435,250,712.489653
-37.08611,250,712.489653
-69.35944,250,729.36949
-67.63765,250,733.523588
-54.063644,250,733.524587
-54.0984,250,733.524587
-49.82081,250,751.207295
-42.238277,250,754.938349
-70.14936,250,754.938349
1.7542268,250,754.938349
-28.125048,250,770.96647
-16.66677,250,774.480501
-76.66682,250,774.480501
-80.31512,250,774.481501
-38.311703,250,790.764906
-29.961065,250,794.369858
-40.19932,250,794.369858
-62.711945,250,794.369858
-58.175022,250,811.008603
52.984818,250,814.583631
-38.23528,250,814.583631
-55.27163,250,814.583631
-53.17729,250,901.334534
-22.807083,250,904.820609
-29.93633,250,904.820609
9.889904,250,904.820609
-38.271614,250,920.89726
-35.593246,250,924.428204
-29.230812,250,924.428204
1.7542268,250,924.428204
-44.62542,250,940.757085
14.814798,250,944.286062
-39.71628,250,944.287068
-21.933176,250,944.287068
-74.0261,250,972.254871
-39.102592,250,980.068167
-30.00002,250,980.068167
-65.4089,250,980.068167
-9.722344,250,996.93337
132.65396,250,1000.603487
-43.548374,250,1000.603487
29.370375,250,1000.603487
-57.29543,250,1017.629626
-32.624153,250,1021.295549
-26.66672,250,1021.295549
-40.740772,250,1021.295549
-34.718117,250,1038.067202
-53.846188,250,1041.720743
22.743423,250,1041.720743
-52.029568,250,1041.720743
-25.816053,250,1059.055395
2.9410205,250,1062.882622
34.831207,250,1062.882622
-17.562798,250,1062.882622
-47.85278,250,1149.65425
-25.465843,250,1153.108882
-26.666716,250,1153.108882
-38.27163,250,1153.108882
-27.272783,250,1168.724911
-30.817642,250,1172.20178
-3.703859,250,1172.20178
-8.39708,250,1172.20178
6.109161,250,1188.116793
-24.914724,250,1191.613932
-17.431286,250,1191.613932
55.339462,250,1191.613932
-23.588106,250,1207.609447
-41.818222,250,1211.177853
-36.758896,250,1211.177853
-18.819302,250,1211.177853
-46.478905,250,1228.193911
29.128891,250,1231.91091
21.950962,250,1231.91091
23.674639,250,1231.91091
161.01721,250,1248.035253
-3.030461,250,1251.532037
-36.10228,250,1251.532037
-27.392797,250,1251.532037
-66.25776,250,1267.475316
-47.71244,250,1270.981224
-33.33332,250,1270.981224
22.977064,250,1270.981224
-9.090844,250,1287.332916
-15.0580435,250,1290.870977
-29.577507,250,1290.870977
4.729593,250,1290.870977
74.72116,250,1308.141229
11.91316,250,1379.743768
77.0831,250,1379.743768
57.142494,250,1379.744775
264.2618,250,1395.836758
3.7734075,250,1399.324968
226.31625,250,1399.324968
141.93623,250,1399.324968
23.376392,250,1415.362807
2.1125093,250,1418.814056
34.751526,250,1418.814056
20.12962,250,1418.814056
198.65833,250,1434.856659
-23.841125,250,1438.397908
-40.000023,250,1438.397908
17.43759,250,1438.397908
56.626198,250,1455.200619
