#{"t_start": 1701049036.8927283, "env_id": "None"}
r,l,t
-11.032004,250,41.995401
-54.802353,250,41.995401
-51.049007,250,41.995401
-60.39615,250,41.995401
-65.94437,250,80.688795
-57.516468,250,80.688795
-66.21631,250,80.688795
-41.422596,250,80.688795
-29.999977,250,102.688367
-55.47952,250,102.688367
-24.460384,250,102.688367
-70.29716,250,102.688367
-28.338726,250,123.334758
-42.028976,250,123.334758
-36.305737,250,123.334758
-63.899014,250,123.334758
-16.349766,250,144.86122
-19.707996,250,144.862219
-40.76657,250,144.862219
-12.213741,250,144.862219
-19.298231,250,166.174473
-32.692272,250,166.174473
-52.02956,250,166.174473
-30.693024,250,166.174473
-36.10221,250,186.127086
-49.640316,250,186.127086
-28.358173,250,186.127086
-36.507954,250,186.127086
-55.056248,250,206.62071
-36.802948,250,206.62071
-39.849598,250,206.62071
-27.899637,250,206.62071
-46.236557,250,311.350983
-48.979656,250,311.351982
-63.57625,250,311.351982
-46.127968,250,311.351982
-36.666645,250,334.249074
-26.470625,250,334.249074
-22.261417,250,334.249074
-19.093819,250,334.249074
-78.12515,250,358.370181
-59.322117,250,358.370181
-16.388006,250,358.370181
-53.020172,250,358.370181
-37.931038,250,382.040132
-34.78259,250,382.040132
-26.315718,250,382.040132
-73.064095,250,382.040132
-62.83794,250,406.359007
-56.33192,250,406.359007
-81.19138,250,406.359007
-52.86198,250,406.359007
-21.311432,250,426.901312
-67.971634,250,426.901312
-47.791176,250,426.901312
-52.55477,250,426.901312
13.20738,250,448.370928
-15.492982,250,448.370928
-63.934536,250,448.370928
-16.058409,250,448.370928
-30.817556,250,472.321846
-62.84838,250,472.321846
-60.132957,250,472.321846
-35.89741,250,472.321846
-52.205914,250,570.937629
-31.740551,250,570.938633
11.510811,250,570.938633
-66.29222,250,570.938633
-48.096924,250,594.417543
-53.900753,250,594.417543
-72.60286,250,594.417543
-9.395917,250,594.417543
-136.39401,189,610.481722
-148.05365,228,613.551154
-65.63583,250,615.359749
-59.876606,250,615.359749
-25.795103,250,630.790099
-54.0984,250,634.365829
-57.928856,250,636.663415
22.562431,250,636.663415
101.49282,250,652.93053
-26.315838,250,656.382516
-74.72937,250,658.232107
-60.573544,250,658.233116
-60.00007,250,674.075041
-25.196814,250,677.771886
-65.90918,250,679.742692
-71.875114,250,679.742692
-73.422066,250,697.463036
-1.6948599,250,701.425124
-14.39692,250,703.685041
-18.831165,250,703.685041
-64.70597,250,721.313411
-52.076717,250,724.930612
-44.029873,250,726.821314
-1.1408278,250,726.821314
-74.52242,250,813.387022
-160.59975,227,816.423506
-19.413881,250,816.519243
-36.842068,250,818.316621
-69.23088,250,833.643645
-158.4766,247,836.477665
61.403282,250,836.82741
42.372604,250,838.628381
-109.76243,167,847.074045
-147.06024,193,852.1173
-5.5375934,250,856.300649
-55.555603,250,858.465259
-56.66672,250,873.609463
-27.672977,250,882.507479
7.1427045,250,889.969524
-29.487202,250,895.20604
-15.322675,250,903.921322
-72.02809,250,909.284495
-16.666748,250,913.734758
-10.204215,250,915.921112
83.333084,250,924.800903
-29.629671,250,930.381937
-43.06053,250,935.228086
41.843758,250,937.468584
-31.407969,250,946.658
-130.51952,188,946.921103
-122.13846,202,954.966165
-70.32652,250,956.858578
-17.603098,250,968.237612
7.5267134,250,968.529571
-22.794199,250,976.539037
-28.783401,250,978.562711
-33.333374,250,990.183647
-35.18514,250,990.464935
-127.704926,202,994.237217
-11.042949,250,1069.855675
11.11091,250,1080.196747
-69.46576,250,1080.459407
-27.672989,250,1084.115712
-74.545586,250,1089.820479
95.71842,250,1100.552237
-48.220078,250,1100.826553
84.30014,250,1104.488518
63.987007,250,1110.29928
50.197357,250,1120.771699
-15.129268,250,1121.038665
-27.272772,250,1124.693997
12.9565735,250,1130.44007
4.529485,250,1141.420921
228.62283,250,1141.694809
-30.930954,250,1145.617513
-57.746544,250,1151.668329
43.769745,250,1162.639902
-33.993427,250,1162.899719
200.00017,250,1166.655876
79.660774,250,1172.430407
23.333132,250,1183.193931
-6.148995,250,1183.454707
167.97452,250,1187.184284
-20.245386,250,1192.96591
23.23941,250,1203.505305
207.43294,250,1203.761436
-30.501982,250,1207.308347
-72.02809,250,1213.107556
115.27809,250,1224.796764
24.999691,250,1225.072215
19.133333,250,1228.933572
111.89639,250,1235.15552
-12.28082,250,1314.052156
-6.4517584,250,1314.317712
66.66638,250,1318.02554
312.37155,250,1323.795177
321.9861,250,1334.506858
52.597176,250,1334.772976
428.16916,250,1338.455934
205.19563,250,1344.256558
-34.285748,250,1354.893087
341.28174,250,1355.156225
98.67578,250,1358.754194
24.160797,250,1364.419825
27.94586,250,1375.248374
140.96481,250,1375.529886
339.21683,250,1379.365104
-63.8555,250,1385.306325
329.9999,250,1396.252738
-19.732544,250,1396.521986
181.1395,250,1400.224642
120.23822,250,1406.003196
76.92313,250,1417.866078
51.851547,250,1418.170542
59.72191,250,1421.937155
435.59415,250,1427.743209
0.30380878,250,1438.344605
368.31,250,1438.607195
8.280083,250,1442.251123
86.20716,250,1447.946257
192.9581,250,1459.22592
124.2657,250,1459.49954
29.567793,250,1463.296196
28.571108,250,1469.272115
490.9092,250,1549.373655
125.39747,250,1549.637899
123.642876,250,1553.299227
314.17947,250,1559.02894
75.00001,250,1569.655691
168.85333,250,1569.924066
106.15449,250,1573.639618
-28.792622,250,1579.319611
-23.076977,250,1590.070189
126.416046,250,1590.350404
19.862791,250,1594.080707
202.84009,250,1600.124689
353.9012,250,1611.481406
394.08347,250,1611.76046
92.91377,250,1615.6408
387.01312,250,1621.61944
93.33373,250,1632.531963
344.06894,250,1632.792768
659.5433,250,1636.441035
51.639107,250,1642.171048
66.66658,250,1653.012582
137.94295,250,1653.282929
182.35373,250,1656.940933
-21.23294,250,1662.735236
124.914505,250,1673.428221
273.77133,250,1673.692532
188.13658,250,1677.672324
51.898453,250,1683.608996
153.96889,250,1694.8323
203.30354,250,1695.112949
246.8024,250,1698.997959
294.4646,250,1704.97582
-22.600687,250,1788.430962
465.6938,250,1788.706722
251.85294,250,1792.400772
84.027725,250,1798.132211
37.183792,250,1809.124449
91.12667,250,1809.396544
73.91275,250,1813.12966
213.43365,250,1818.948378
306.06152,250,1830.045232
79.738625,250,1830.331548
424.9276,250,1834.315225
68.31674,250,1840.098056
236.99707,250,1851.093682
304.18182,250,1851.373178
392.18857,250,1855.248327
394.62466,250,1861.351444
356.52176,250,1872.320354
-25.806517,250,1872.587511
203.79826,250,1876.286195
245.1966,250,1881.915629
74.21612,250,1892.555659
16.607534,250,1892.818332
-53.237446,250,1896.52577
719.1494,250,1902.341702
26.182753,250,1913.681976
111.53917,250,1914.006804
272.62448,250,1917.941684
337.50034,250,1928.575357
188.19513,250,1949.560952
-2.2558134,250,1950.047413
159.26022,250,1959.422526
627.27216,250,1969.372571
55.796852,250,1981.08425
204.34888,250,1981.366546
452.63257,250,2048.508197
348.38742,250,2054.152623
14.006319,250,2064.581833
543.1086,250,2064.852427
-30.158756,250,2068.399136
483.6073,250,2073.919987
407.35324,250,2084.203615
-20.138975,250,2084.464212
398.30627,250,2088.100009
273.70337,250,2093.705933
625.9784,250,2104.666286
664.8997,250,2104.935458
49.25347,250,2108.711283
516.48566,250,2114.500419
563.3663,250,2125.27119
408.30652,250,2125.534335
488.6804,250,2129.142337
20.437704,250,2134.762721
410.0682,250,2145.365205
207.95921,250,2145.612265
419.7142,250,2149.198347
192.76427,250,2154.730802
62.499763,250,2165.056437
597.2115,250,2165.303038
238.34692,250,2168.864876
792.472,250,2174.457196
549.4469,250,2185.472785
285.07465,250,2185.746441
595.16595,250,2189.603549
240.69498,250,2195.510508
566.6658,250,2206.223818
152.42778,250,2206.489033
180.70244,250,2210.035
138.25603,250,2280.2128
39.15825,250,2291.615698
11.887915,250,2291.878278
178.16977,250,2295.568752
423.4908,250,2301.174057
825.6494,250,2311.965889
373.8573,250,2312.231593
268.61386,250,2315.961687
374.22757,250,2321.697941
353.94794,250,2333.202846
221.10196,250,2333.48941
254.24454,250,2337.400576
35.134888,250,2343.406158
823.0752,250,2354.264389
8.843348,250,2354.541035
813.97687,250,2358.294428
214.28638,250,2363.815889
297.39496,250,2374.268353
853.9015,250,2374.525938
513.792,250,2378.118596
44.73652,250,2383.777031
469.34344,250,2393.992756
346.7361,250,2394.250968
688.1943,250,2397.801618
650.9575,250,2403.326488
418.39578,250,2414.356911
542.36163,250,2414.627573
878.35486,250,2418.386209
473.17105,250,2424.221852
742.9471,250,2434.936473
410.41763,250,2435.198588
45.45428,250,2439.135467
186.66756,250,2444.980261
686.1626,250,2518.282681
245.39563,250,2518.544235
65.99159,250,2522.086716
3.320837,250,2527.617399
563.6092,250,2538.192321
901.298,247,2538.192321
796.0559,250,2542.060746
201.32518,250,2547.687253
256.6184,250,2558.527471
674.8341,250,2558.527471
437.10364,250,2562.54629
823.07623,250,2568.333513
859.7068,250,2579.050878
896.3769,250,2579.0519
288.31696,250,2582.974977
763.48016,250,2588.596625
405.8489,250,2599.339782
727.33875,250,2599.339782
514.3329,250,2603.183453
837.03796,250,2608.76203
0.4014921,250,2619.286001
400.00116,250,2619.286001
-23.91309,250,2623.136997
770.2549,250,2628.935568
780.7008,250,2639.910507
461.29068,250,2639.910507
900.8012,248,2643.763023
478.2752,250,2649.848319
76.89497,250,2660.408926
450.52304,250,2660.408926
472.4635,250,2664.126685
846.56635,250,2669.811127
197.7353,250,2743.175605
447.61984,250,2743.175605
140.14447,250,2746.826901
54.411514,250,2752.576213
170.0303,250,2763.306755
67.24712,250,2763.306755
649.142,250,2767.001614
-24.52834,250,2772.749283
652.8086,250,2783.742676
100.00043,250,2783.743676
34.79593,250,2787.64531
255.48245,250,2793.723475
319.46405,250,2804.437651
624.1382,250,2804.437651
849.64136,250,2808.215829
10.714142,250,2814.047846
138.90883,250,2824.834258
143.40266,250,2824.834258
421.34113,250,2828.597734
217.90184,250,2834.404265
41.70009,250,2845.026422
30.698776,250,2845.026422
729.34955,250,2848.71324
406.3693,250,2854.492195
575.09045,250,2865.428252
600.3737,250,2865.428252
617.6866,250,2869.341089
296.49158,250,2875.41215
626.277,250,2886.022592
149.2589,250,2886.022592
687.8787,250,2889.711221
529.74695,250,2895.46521
881.1326,250,2968.659729
704.55927,250,2968.659729
406.36914,250,2972.250656
68.4585,250,2977.927789
52.726997,250,2988.555444
810.0722,250,2988.555444
33.333084,250,2992.245652
-3.8463,250,2997.982787
713.38074,250,3008.970125
476.1589,250,3008.970125
420.27136,250,3012.853239
509.58817,250,3018.789114
502.73834,250,3029.47607
3.2026691,250,3029.47607
486.20767,250,3033.111933
840.5199,250,3038.839603
880.54254,250,3049.317414
222.91757,250,3049.317414
842.85706,250,3053.016135
774.194,250,3058.722796
734.5078,250,3069.378541
233.33435,250,3069.378541
838.46075,250,3073.023652
18.643852,250,3078.823097
674.9995,250,3089.863245
617.1709,250,3089.863245
566.66486,250,3093.656493
383.55334,250,3099.619505
590.4763,250,3110.318643
56.62625,250,3110.318643
