#{"t_start": 1700902554.1283884, "env_id": "None"}
r,l,t
-78.647835,250,47.88126
-46.32775,250,47.88126
-37.06292,250,47.88126
-53.79543,250,47.88126
-59.11958,250,47.88126
-70.6961,250,47.88126
-62.8484,250,96.067518
-37.908493,250,96.067518
-22.297276,250,96.067518
-49.790833,250,96.067518
-58.620773,250,96.067518
-46.428577,250,96.067518
-36.66664,250,125.216249
-48.63017,250,125.216249
-13.669058,250,125.216249
-30.693024,250,125.216249
-32.86216,250,125.216249
-60.000088,250,125.216249
-54.39744,250,154.416088
-63.76821,250,154.416088
-71.33773,250,154.416088
-38.628136,250,154.416088
-56.5218,250,154.416088
-24.731157,250,154.416088
-27.756605,250,184.213441
-41.605846,250,184.213441
-37.28221,250,184.213441
-50.381718,250,184.213441
-42.67514,250,184.213441
-46.99649,250,184.213441
-50.877224,250,211.727406
-42.307747,250,211.727406
-26.199238,250,211.727406
-33.993378,250,211.727406
-59.18375,250,211.727406
-61.672565,250,211.727406
-48.88184,250,238.693785
-56.83461,250,238.693785
-37.313408,250,238.693785
-39.68255,250,238.693785
-27.203043,250,238.693785
-37.03706,250,238.693785
-66.29224,250,265.975152
-59.10788,250,265.975152
-9.774402,250,265.97615
-62.382545,250,265.97615
-64.16948,250,265.97615
-40.78955,250,265.97615
-21.146915,250,421.516937
-25.170052,250,421.517932
-60.26499,250,421.517932
-29.29287,250,421.517932
-42.446037,250,421.517932
-20.863274,250,421.517932
6.6666584,250,449.787371
-11.7648115,250,449.787371
-71.73158,250,449.787371
-38.511295,250,449.787371
-32.153343,250,449.787371
-51.67291,250,449.787371
-144.61188,205,473.456383
-62.500076,250,478.556763
-13.043427,250,478.556763
-69.798775,250,478.556763
-40.063107,250,478.556763
-29.577436,250,478.556763
-47.205013,250,502.296643
-44.827587,250,507.425934
-19.298307,250,507.425934
-59.596027,250,507.425934
-36.55587,250,507.425934
-79.66117,250,507.425934
-51.965107,250,530.822955
-49.324356,250,535.619135
-78.05659,250,535.619135
-62.963047,250,535.619135
-0.6849386,250,535.619135
-23.312922,250,535.619135
-35.94302,250,557.077428
-31.147514,250,561.713037
-19.678741,250,561.713037
-56.204426,250,561.713037
-14.893619,250,561.713037
