#{"t_start": 1700902258.874027, "env_id": "None"}
r,l,t
-78.647835,250,48.30006
-46.32775,250,48.30006
-37.06292,250,48.30006
-53.79543,250,48.30006
-59.11958,250,48.30006
-70.6961,250,48.30006
-62.8484,250,96.079402
-37.908493,250,96.079402
-22.297276,250,96.079402
-49.790833,250,96.079402
-58.620773,250,96.079402
-46.428577,250,96.079402
-36.66664,250,125.181425
-48.63017,250,125.181425
-13.669058,250,125.181425
-30.693024,250,125.181425
-32.86216,250,125.181425
-60.000088,250,125.181425
-54.39744,250,153.876739
-63.76821,250,153.876739
-71.33773,250,153.876739
-38.628136,250,153.876739
-56.5218,250,153.876739
-24.731157,250,153.876739
-27.756605,250,183.220311
-41.605846,250,183.220311
-37.28221,250,183.220311
-50.381718,250,183.220311
-42.67514,250,183.220311
-46.99649,250,183.220311
-50.877224,250,210.057499
-42.307747,250,210.057499
-26.199238,250,210.057499
-33.993378,250,210.057499
-59.18375,250,210.057499
-61.672565,250,210.057499
-48.88184,250,236.906586
-56.83461,250,236.906586
-37.313408,250,236.906586
-39.68255,250,236.906586
-27.203043,250,236.906586
-37.03706,250,236.906586
-66.29224,250,263.594178
-59.10788,250,263.594178
-9.774402,250,263.594178
-62.382545,250,263.594178
-64.16948,250,263.594178
-40.78955,250,263.594178
