#{"t_start": 1700915586.949375, "env_id": "None"}
r,l,t
-78.647835,250,53.152686
-40.677963,250,53.152686
15.384426,250,53.152686
-33.99343,250,53.152686
-53.560413,250,103.289459
-37.908478,250,103.289459
-49.32434,250,103.289459
-41.422585,250,103.289459
-50.000027,250,130.757836
2.7395906,250,130.757836
-13.669023,250,130.757836
-66.99686,250,130.757836
-70.68415,250,159.858044
-56.521786,250,159.859042
-58.59878,250,159.859042
-60.28887,250,159.859042
-54.37266,250,185.974533
-41.60584,250,185.974533
-54.703876,250,185.974533
-27.480974,250,185.974533
-33.333324,250,211.045925
-58.33343,250,211.045925
-7.749224,250,211.045925
-63.6965,250,211.045925
-45.686916,250,235.240639
-60.431717,250,235.240639
129.85088,250,235.240639
-58.730217,250,235.240639
-28.838894,250,258.97218
-33.085438,250,258.97218
-51.12787,250,258.97218
-37.30406,250,258.97218
-42.652428,250,393.610449
5.4420724,250,393.611441
-60.26496,250,393.611441
-32.659954,250,393.611441
-6.6667852,250,418.364163
36.029167,250,418.364163
-22.261524,250,418.364163
-61.16515,250,418.364163
-53.12503,250,442.960586
-18.64417,250,442.960586
-9.699098,250,442.960586
-53.02017,250,442.960586
41.37905,250,467.835307
-9.937943,250,467.835307
-22.80708,250,467.835307
1.010026,250,467.835307
-29.054094,250,491.800436
48.47152,250,491.800436
3.4480953,250,491.800436
-22.559,250,491.800436
-31.14756,250,514.004161
-50.177967,250,514.004161
-11.646697,250,514.004161
-41.60583,250,514.004161
-32.075493,250,535.790122
-40.14088,250,535.790122
-37.70495,250,535.790122
-23.357737,250,535.790122
-33.96221,250,558.540508
-31.88855,250,558.540508
19.601297,250,558.540508
-71.15396,250,558.540508
230.88306,250,663.35252
19.453869,250,663.35252
148.20209,250,663.35252
-13.857789,250,663.35252
-55.017345,250,688.008424
-25.53199,250,688.008424
-28.082212,250,688.008424
10.738041,250,688.008424
64.94826,250,722.327465
38.888565,250,722.327465
-22.388071,250,722.327465
5.9600534,250,722.327465
-102.41966,130,741.850441
32.68577,250,763.080329
-41.504158,250,763.081326
-11.660866,250,763.081326
-15.789584,250,784.239476
-27.797882,250,803.315526
122.2232,250,803.315526
-62.68664,250,803.315526
-105.72296,222,819.717997
-12.878915,250,836.938935
3.1248126,250,836.938935
306.6669,250,836.938935
38.982758,250,847.02791
36.18647,250,862.278447
-64.2858,250,862.278447
182.39261,250,862.278447
