#{"t_start": 1700859766.9798634, "env_id": "None"}
r,l,t
-32.38431,250,49.484443
-29.378477,250,49.484443
-51.049004,250,49.484443
-57.095783,250,49.484443
-43.396255,250,49.484443
-70.69609,250,49.484443
-34.984493,250,98.751871
-21.568604,250,98.751871
-49.324364,250,98.751871
-37.238495,250,98.751871
-55.172485,250,98.751871
-75.000145,250,98.751871
-33.33329,250,128.866587
-31.50682,250,128.866587
-53.237446,250,128.866587
-63.69646,250,128.866587
-22.261433,250,128.866587
-44.61541,250,128.867585
-70.68416,250,157.191458
-16.666662,250,157.191458
-14.012717,250,157.191458
-20.577568,250,157.192456
-9.420273,250,157.192456
-39.06815,250,157.192456
-61.977283,250,184.21041
-67.1534,250,184.21041
-58.18824,250,184.21041
-23.664108,250,184.21041
-61.78352,250,184.21041
-29.328575,250,184.21041
-54.386005,250,210.420222
-48.717983,250,210.420222
-66.78978,250,210.420222
-33.993378,250,210.420222
-38.775543,250,210.420222
-16.376286,250,210.420222
-42.49202,250,238.443339
-53.237476,250,238.443339
-34.328384,250,238.443339
-55.555664,250,238.443339
-23.371626,250,238.443339
-70.37049,250,238.443339
-62.546913,250,266.524908
-33.085453,250,266.524908
-54.88728,250,266.524908
-59.24773,250,266.524908
-25.081417,250,266.524908
-24.342066,250,266.524908
-31.89958,250,344.946573
-31.972736,250,344.946573
-33.774822,250,344.946573
-66.33007,250,344.946573
-71.22314,250,344.946573
-24.460396,250,344.946573
-43.333385,250,373.566581
-37.49999,250,373.567578
-25.795036,250,373.567578
-25.566319,250,373.567578
-73.45147,250,373.567578
-14.498091,250,373.567578
-71.87513,250,402.382582
-28.813507,250,402.382582
-33.110332,250,402.382582
-19.46305,250,402.382582
-24.290182,250,402.382582
-47.183136,250,402.382582
-58.620796,250,431.603497
-31.676966,250,431.603497
-22.806988,250,431.603497
-76.43113,250,431.603497
-42.598194,250,431.603497
-55.932255,250,431.603497
-49.32434,250,459.260533
-38.864594,250,459.260533
-27.899635,250,459.260533
-73.06411,250,459.260533
-52.054855,250,459.260533
-38.650276,250,459.260533
-54.098404,250,485.722282
-57.29545,250,485.722282
24.498028,250,485.722282
24.087505,250,485.722282
-53.900764,250,485.722282
-45.558754,250,485.722282
-54.717045,250,514.315984
-33.09865,250,514.315984
-18.03278,250,514.315984
-48.90513,250,514.316984
-57.597256,250,514.316984
-43.060528,250,514.316984
-49.68557,250,542.725249
-75.23233,250,542.725249
-53.488434,250,542.725249
-74.359116,250,542.725249
-67.105354,250,542.725249
-40.075,250,542.725249
-19.11759,250,607.312569
-45.392498,250,607.312569
-46.04317,250,607.312569
-51.310894,250,607.312569
-20.63489,250,607.312569
-39.189182,250,607.312569
-13.494793,250,633.409822
-21.98577,250,633.409822
-41.78083,250,633.409822
-49.66448,250,633.409822
-49.68558,250,633.409822
69.675,250,633.409822
-62.199413,250,659.160995
-22.83948,250,659.160995
-4.4775796,250,659.160995
-70.1988,250,659.160995
-13.043477,250,659.160995
-60.122833,250,659.160995
-48.2201,250,685.167242
-58.21735,250,685.167242
-29.328573,250,685.167242
-63.934555,250,685.167242
-41.979507,250,685.167242
-19.99994,250,685.167242
-27.79778,250,713.365067
-24.731186,250,713.365067
-25.373075,250,713.365067
-12.280652,250,713.365067
-5.228716,250,713.365067
-27.536192,250,713.365067
-121.518,217,737.237114
-12.878747,250,740.890347
-28.124966,250,740.890347
-40.00002,250,740.890347
-17.322813,250,740.890347
-44.95414,250,740.890347
-42.492,250,763.48573
-68.87171,250,766.937504
-38.31164,250,766.938502
-36.87706,250,766.938502
-69.49163,250,766.938502
-57.2369,250,766.938502
-36.802944,250,789.806685
-14.17904,250,793.26844
-4.943097,250,793.26844
-61.764843,250,793.26844
34.185284,250,793.26844
-35.606026,250,793.26844
-33.993378,250,856.781209
-33.33328,250,860.407515
-66.555275,250,860.407515
-71.3377,250,860.407515
-56.04404,250,860.407515
-19.540201,250,860.407515
13.138702,250,885.159363
-35.59328,250,888.854486
-38.271572,250,888.854486
-26.15382,250,888.854486
-64.912384,250,888.855484
-66.037834,250,888.855484
-49.09093,250,911.332421
-151.49039,241,913.633271
29.629478,250,914.700418
-51.140102,250,914.700418
-46.808517,250,914.700418
9.965496,250,914.700418
33.333153,250,953.948521
-46.540886,250,958.106413
-74.35911,250,961.650452
-22.07801,250,961.650452
-70.00011,250,961.650452
-48.32829,250,961.650452
-49.206387,250,985.675698
-19.580458,250,988.262788
-42.857178,250,989.332928
-30.555578,250,989.332928
-27.41935,250,989.332928
-25.373074,250,989.332928
-133.5518,205,1011.500033
21.863667,250,1013.846759
-60.992985,250,1017.616682
42.348465,250,1017.61768
36.666496,250,1017.61768
-65.29978,250,1017.61768
-129.86864,210,1037.520498
-48.339535,250,1039.608916
-26.15387,250,1045.701631
-43.620174,250,1045.701631
-2.5271666,250,1045.701631
-33.085472,250,1045.701631
-29.824526,250,1065.985547
-64.15779,250,1067.970249
-4.4117312,250,1073.696961
-61.42443,250,1073.696961
-55.056236,250,1073.696961
-42.953037,250,1073.696961
35.658607,250,1092.991425
14.197573,250,1135.199156
-72.04982,250,1140.939822
-32.5153,250,1140.939822
-43.333355,250,1140.939822
-18.300606,250,1140.939822
-40.39733,250,1158.934741
29.77073,250,1160.835661
-30.817589,250,1166.276119
-34.54539,250,1166.276119
-18.518507,250,1166.276119
-50.877213,250,1166.276119
-0.6212904,250,1184.533393
-32.038776,250,1186.508115
-118.50672,200,1186.913033
-35.153538,250,1192.033346
-44.954124,250,1192.033346
-51.851974,250,1192.033346
-57.18663,250,1210.503346
-4.0591545,250,1212.46211
-33.554817,250,1212.880991
-74.43656,228,1215.670534
-28.853703,250,1217.941465
-47.882755,250,1217.941465
-19.46303,250,1236.177719
-36.395782,250,1238.079635
-46.478897,250,1238.500511
-45.827385,214,1239.94465
-27.927889,250,1241.394775
-49.704163,250,1243.756469
-104.322014,113,1250.331897
-102.579895,200,1256.738773
28.712687,250,1263.708144
-26.51753,250,1265.572161
-36.363655,250,1267.024279
-31.654678,250,1269.28424
-20.245375,250,1275.791852
-49.45851,250,1282.23862
-121.32002,183,1282.468007
-43.33333,250,1291.182741
-57.516396,250,1292.663754
-20.454613,250,1294.871852
-144.83847,209,1297.060315
-111.98916,183,1301.187284
16.766325,250,1307.902706
-29.577473,250,1317.166458
-85.463615,92,1317.678092
-18.918892,250,1318.592646
-34.426235,250,1320.85859
-40.520435,250,1323.226265
-3.5715287,250,1327.548711
-34.027725,250,1343.664084
-52.38099,250,1344.204639
-42.238255,250,1345.149115
-119.66128,187,1387.579581
-50.87723,250,1387.688289
-41.580727,250,1389.998119
-22.807068,250,1409.793761
-11.392358,250,1410.326338
-5.6603947,250,1411.26483
-54.54552,250,1413.393327
-49.820816,250,1413.510015
-51.298733,250,1415.746039
-43.262405,250,1435.284878
12.675852,250,1435.810481
-29.577423,250,1436.754984
-7.4732738,250,1438.925155
-46.76813,250,1439.047827
-42.95303,250,1441.365124
-71.42869,250,1460.932857
-52.05482,250,1461.460447
-13.907253,250,1462.456784
-27.710781,250,1464.629976
-20.127827,250,1464.752646
-69.879654,250,1467.036645
-61.996273,180,1480.789905
-59.596077,250,1486.606357
-71.428696,250,1487.17384
-43.143806,250,1490.373289
175.47157,250,1490.497955
-46.428593,250,1492.793818
53.02471,250,1506.80261
-63.333424,250,1512.527534
-0.34369263,250,1513.049139
7.4072294,250,1516.121937
-35.48385,250,1516.229649
-38.983032,250,1518.539476
-72.22234,250,1532.526935
-23.076878,250,1538.193787
-34.853405,250,1538.736337
-40.14082,250,1541.893897
-43.521606,250,1542.008591
-41.379383,250,1544.374268
-132.94997,161,1555.422745
-26.75156,250,1558.228251
-60.486412,250,1563.932004
-59.558887,250,1567.636111
-32.862183,250,1567.767756
-46.42857,250,1570.063621
-4.1095524,250,1581.572861
-43.52164,250,1584.526965
43.661972,250,1590.472074
-26.98409,250,1594.258952
-16.083975,250,1594.396585
-44.029846,250,1596.718378
-60.00007,250,1649.412558
-16.93287,250,1652.26992
-43.181816,250,1658.009845
-8.196706,250,1661.681046
-54.098484,250,1661.802723
-50.46446,250,1664.079635
-61.90484,250,1675.089221
-23.076942,250,1677.942595
-14.285838,250,1683.521682
-5.660509,250,1687.130036
-26.605444,250,1687.247722
-68.454384,250,1689.622378
-133.85384,157,1699.619681
36.02916,250,1700.575128
-34.93148,250,1703.393594
-34.911255,250,1712.785504
-24.460365,250,1712.913164
16.883072,250,1715.185091
-18.43981,250,1724.994882
6.761389,250,1725.896472
-13.385772,250,1728.791454
-98.42846,199,1732.889509
-11.86443,250,1737.930545
-30.327927,250,1740.277273
-3.3334033,250,1750.549814
-16.387959,250,1751.476337
-61.832165,250,1754.300788
-30.81763,250,1758.593323
-35.691334,250,1763.729594
43.835373,250,1766.0843
-51.923103,250,1775.919022
26.760307,250,1776.856515
-70.58837,250,1779.719862
-41.81818,250,1783.849492
27.868582,250,1789.017686
-43.038013,250,1791.488084
-10.034561,250,1801.997991
-20.26577,250,1802.932493
-72.88148,250,1805.849696
-147.62503,237,1808.767895
-48.94898,250,1815.457015
3.8060575,250,1817.859594
-68.71507,144,1818.067038
-88.13663,87,1827.167713
-52.38098,250,1828.23486
-120.14998,129,1831.308645
-59.59606,250,1832.104517
-23.357752,250,1835.053634
-56.20446,250,1841.707851
-25.000063,250,1894.484555
-103.52486,249,1895.37717
-167.37047,243,1898.439982
-32.835785,250,1898.439982
68.58218,250,1902.015425
-7.8499665,250,1908.396401
-89.697845,155,1911.002435
19.74094,250,1919.782985
3.678888,250,1923.90796
-37.29379,250,1923.90796
-48.717964,250,1927.542246
-18.300758,250,1933.958096
-130.0636,235,1935.065136
-60.78438,250,1945.396537
-58.9444,250,1949.612784
-46.23656,250,1949.612784
-8.783749,250,1953.197202
-47.735203,250,1959.544535
6.2270255,250,1960.671522
-26.829214,250,1970.942089
-103.56244,224,1972.346336
24.554922,250,1975.031159
-65.87039,250,1978.617573
-135.61288,211,1981.076998
15.941835,250,1986.077632
-135.58984,177,1990.262446
1.9107925,250,1996.328233
-68.085205,250,2000.313585
-128.12871,215,2000.313585
-71.73157,250,2006.346459
-40.766552,250,2011.510655
-31.654638,250,2015.941816
16.197031,250,2022.132269
-30.147017,250,2026.190449
55.844093,250,2026.190449
-45.055023,250,2032.534471
98.738235,250,2037.576997
-48.7181,215,2038.332976
-47.7858,117,2038.519479
-104.73339,179,2049.726572
55.476723,250,2055.200956
-2.255677,250,2073.192256
-20.138937,250,2082.471433
-20.227924,250,2086.091766
-25.806458,250,2086.239373
-92.88941,198,2087.389298
-1.7543575,250,2097.059451
-3.0101707,250,2108.432057
-145.17535,240,2113.033772
-23.976572,250,2115.034419
-63.934544,250,2115.167064
-36.87712,250,2116.377827
7.279601,250,2126.192592
-112.79535,148,2174.809732
2.4734309,250,2178.276463
-25.081469,250,2182.44532
7.9365516,250,2184.204619
-10.034655,250,2184.326294
-91.305885,98,2192.50843
-41.780823,250,2193.9037
-22.330057,250,2200.531983
21.527758,250,2203.930897
-98.592186,103,2204.340802
-77.325645,215,2206.196841
50.537483,250,2209.838108
-76.49738,91,2213.337754
-74.97993,214,2214.421856
16.43836,250,2225.965007
-37.728943,250,2229.834664
-25.373184,250,2231.709652
45.98507,250,2235.379841
115.94658,250,2238.914393
2.3101745,250,2240.09025
-36.106956,180,2248.307293
15.25404,250,2251.55561
-39.62266,250,2257.180574
1.9735776,250,2260.733079
76.47037,250,2264.025279
74.49655,250,2265.133317
4.529474,250,2273.181803
-23.900055,92,2274.146226
-136.74191,173,2274.261916
-26.356667,250,2276.334377
147.31268,250,2285.650474
35.457977,250,2288.976589
-80.10557,187,2291.96759
-85.91903,168,2293.276091
-33.5793,250,2299.292012
-17.293346,250,2299.430085
35.646652,250,2311.454024
16.417856,250,2314.920909
41.84389,250,2318.199146
90.14056,250,2319.572476
-122.499985,207,2321.268941
-10.7806635,250,2325.736998
-86.36225,134,2331.855643
-56.37589,250,2337.453687
27.96001,204,2340.585315
-19.093855,250,2340.923413
-25.566402,250,2347.240526
8.187038,250,2351.858184
-81.05114,210,2353.936628
30.872252,250,2363.685584
94.07868,250,2366.81821
-37.062916,250,2367.163288
-40.52043,250,2373.520803
-145.06761,210,2373.94467
-92.81241,113,2379.043042
-33.852127,250,2380.246825
-0.34367737,250,2431.933129
16.438406,250,2435.114625
-72.6407,177,2439.465349
11.841997,250,2441.554765
38.68593,250,2441.980626
-72.02493,214,2444.432614
-81.378204,90,2448.651338
-3.9038608,250,2457.30022
36.666374,250,2460.295214
-108.80577,182,2462.587089
-19.028454,250,2466.64923
-37.269333,250,2467.089054
59.57422,250,2473.839012
-105.531494,177,2478.309064
4.761789,250,2482.69135
0.6944952,250,2488.083935
23.778528,250,2492.181982
165.23282,250,2492.600863
-122.35519,159,2494.461888
23.711061,250,2499.288759
-40.789455,250,2508.173012
-29.914082,172,2509.715888
-72.891685,250,2513.648715
-88.755516,146,2514.255093
-62.462315,217,2514.794663
-5.027907,250,2520.248086
-75.714714,179,2526.546251
-80.099106,177,2527.857746
-6.137227,250,2539.159543
-16.666779,250,2539.791853
-27.083284,250,2540.317449
-109.13331,128,2540.912857
79.6608,250,2545.629256
46.341133,250,2551.930413
-106.88418,240,2563.945298
-23.076931,250,2564.387117
29.86995,250,2565.532057
-33.96222,250,2566.158382
-38.51133,250,2570.895719
-75.10918,111,2576.738103
3.3333607,250,2577.157982
-85.73732,200,2584.16924
-57.79935,80,2585.182544
27.27258,250,2589.758301
-54.128487,250,2591.499645
-19.093893,250,2596.223021
-14.979892,250,2602.395521
-33.774773,250,2610.130845
-141.89604,204,2610.987561
-13.9073105,250,2611.221934
-96.71776,195,2611.833301
-78.18267,109,2621.65904
-20.529877,250,2622.538688
32.61624,250,2628.562587
-123.9333,177,2629.496092
-37.06298,250,2678.944144
-48.717964,250,2679.567477
-94.457634,167,2680.565809
-128.5459,207,2685.386922
112.01405,250,2695.661348
2.388966,250,2696.555966
-113.77656,225,2702.354467
5.801936,250,2704.297274
-24.811962,250,2705.943872
58.249115,250,2710.98481
-135.09,209,2717.266021
14.197535,250,2722.332491
-3.614515,250,2728.002335
48.14791,250,2729.973068
-58.0646,250,2731.628643
-124.76658,216,2733.101705
94.539,250,2742.885558
-37.293705,250,2748.086672
-126.23793,209,2751.463646
-100.17197,229,2751.566371
-19.86059,250,2757.20258
18.8117,250,2758.628768
-51.49206,150,2763.208528
19.564995,250,2768.234093
-16.932905,250,2776.651593
-6.1371303,250,2776.770277
-11.530434,165,2779.72438
-31.972794,250,2782.38427
-148.64839,237,2782.483006
-112.57933,198,2788.151853
-134.22003,216,2798.398469
129.0079,250,2801.847251
18.970858,250,2804.963826
-97.12342,229,2805.449527
-61.53853,250,2807.658623
34.057693,250,2813.213781
0.8900789,250,2823.445432
-104.10499,127,2825.826068
-94.258766,244,2826.126265
-113.44545,198,2827.388896
-40.959457,250,2829.962018
-19.298342,250,2830.456696
-68.34976,142,2840.94167
-58.801563,250,2849.476574
6.529005,250,2851.998832
-8.814582,250,2853.597558
-31.372587,250,2856.281385
72.413605,250,2856.826926
-99.15486,165,2858.3708
-102.28595,174,2867.968146
-67.0001,106,2869.619731
-103.295395,213,2874.512655
-36.859497,195,2876.763636
-36.507915,250,2880.007964
-107.355965,232,2881.327437
-84.68878,167,2928.203838
-81.0753,223,2936.330116
15.107954,250,2944.461383
-87.36973,230,2944.692763
-15.492922,250,2950.331691
24.619814,250,2951.774833
-38.426907,173,2955.688372
-19.028292,250,2956.250868
-67.27547,140,2960.433701
-14.978006,144,2967.455703
-20.731722,250,2971.748062
-18.86166,236,2975.586802
29.824604,250,2981.833117
-13.357381,250,2982.375666
-24.092348,250,2986.122438
-90.079254,198,2987.551618
-28.327587,250,2997.171534
5.882142,250,3001.116064
-107.35345,182,3006.131657
-49.367138,250,3007.228263
195.62053,250,3007.7648
-0.73523164,250,3011.552675
-25.1701,250,3022.434223
-13.494857,250,3026.34079
72.66157,250,3031.376343
218.99693,250,3032.506322
32.0754,250,3033.03092
14.068495,250,3036.893595
-38.60018,160,3038.736668
4.651113,250,3051.743412
-67.24742,190,3056.256078
65.56261,250,3056.918308
-15.384647,250,3058.076212
89.090645,250,3058.611782
24.20356,250,3064.333744
-91.86271,191,3076.005548
-50.00005,250,3077.657134
-80.687416,208,3080.217303
-11.032004,250,3083.048735
-0.6849882,250,3084.247529
3.3333855,250,3090.805002
-80.88548,120,3097.073264
-105.75547,203,3099.436946
-18.149582,250,3102.813919
66.27431,236,3105.423943
229.86195,250,3109.73442
-114.77957,165,3116.916237
-25.675621,250,3117.352072
-25.313389,154,3121.730369
-52.666622,180,3121.84606
-22.580597,250,3123.603363
-76.48811,245,3135.682085
-88.73732,241,3184.718279
-76.91016,200,3185.326653
-34.482723,250,3186.035757
-57.746532,250,3190.339254
-22.0339,250,3192.065639
-109.35517,108,3196.333232
-72.39009,184,3196.957564
-120.98419,119,3204.175399
-17.218508,250,3210.217255
-21.428513,250,3211.639454
-37.50005,250,3215.982845
66.6665,250,3222.089522
-7.6305146,250,3222.740779
-2.2540145,141,3226.211512
-63.333447,250,3230.077923
25.000025,250,3236.174644
42.85709,250,3241.803611
16.981184,250,3248.033957
110.35573,250,3248.679232
9.965515,250,3252.223759
-66.617676,186,3255.449646
88.611855,250,3255.999177
17.437775,250,3267.547315
2.4735537,250,3273.59037
12.94767,250,3274.228663
22.743687,250,3277.766208
-58.249264,247,3280.778157
-40.350914,250,3281.636861
-88.01054,95,3284.103269
-109.70951,122,3286.249532
70.90889,250,3293.295698
-112.67499,134,3294.475544
-114.09635,127,3299.175987
-125.2428,233,3301.617472
-118.62406,243,3306.416645
-18.56673,250,3309.615107
-57.05657,200,3315.056562
-23.954393,250,3319.044902
-36.32955,250,3325.13862
52.41606,250,3327.665968
-13.793086,250,3332.611747
47.481903,250,3335.804214
-133.19087,211,3337.17156
29.449877,250,3345.61301
-118.867584,145,3348.041519
-74.59024,126,3349.274224
-8.771923,250,3351.603995
11.111125,250,3354.239949
-101.46644,108,3356.946714
-40.47621,250,3363.916086
51.81495,250,3374.550665
145.6138,250,3375.850191
-105.62819,127,3377.327244
1.9737302,250,3378.206901
7.407427,250,3380.815927
-88.79809,237,3382.210199
-50.499084,154,3392.16559
-5.4053717,250,3443.296892
58.249023,250,3446.028593
-18.367315,250,3446.911262
46.757725,250,3449.432006
-42.760933,250,3450.789378
19.453903,250,3460.386574
-113.48093,153,3464.968327
5.152051,209,3467.436729
