#{"t_start": 1700821043.427072, "env_id": "None"}
r,l,t
-19.41398,250,24.728176
2.8368144,250,24.728176
-46.42858,250,24.728176
-35.59327,250,24.728176
-11.764739,250,50.962314
-57.8948,250,50.962314
6.666525,250,50.962314
-44.079,250,50.962314
-44.8819,250,76.361124
-14.814891,250,76.361124
-31.888506,250,76.361124
4.8951645,250,76.361124
-117.85458,169,93.564373
64.94835,250,101.882086
30.573143,250,101.882086
-44.05595,250,101.882086
-25.675734,250,118.781082
-29.663622,250,126.976096
-16.943487,250,126.976096
-18.032732,250,126.976096
-51.127846,250,143.553596
-31.034477,250,151.725114
30.872389,250,151.725114
-50.53011,250,151.725114
-48.71796,250,169.613409
-10.298975,250,178.151253
-53.667988,250,178.151253
-35.58279,250,178.151253
-43.609013,250,195.555073
-130.62938,206,199.118129
-36.329548,250,203.563558
0.9771761,250,203.563558
-42.176884,250,254.820025
-21.9219,250,258.512037
-54.703873,250,262.979913
40.740673,250,262.980911
39.73768,250,278.927898
-18.032764,250,282.40206
0.40148255,250,286.458035
-2.356967,250,286.458035
-43.462902,250,303.150317
-66.330055,250,306.716254
-56.656403,250,311.687966
-50.331177,250,311.687966
17.215883,250,327.595689
-8.759194,250,330.940359
-20.382118,250,335.047035
-8.474528,250,335.047035
-127.321014,242,349.50927
-133.93216,196,352.605082
-18.831242,250,353.560041
-57.36439,250,357.619832
-37.70493,250,372.061975
-114.0564,221,373.455279
-57.186596,250,375.257843
-106.80829,223,377.727039
-44.444485,250,397.480942
-59.596027,250,398.92891
-27.335577,250,400.621964
-32.142868,250,403.151827
-99.693756,157,417.634051
-55.645206,250,420.548843
-58.762943,250,422.096586
-52.05482,250,423.90892
42.335457,250,467.91595
-14.634086,250,470.980873
-43.573654,250,472.428008
-57.295425,250,474.2292
-62.900185,168,487.581571
-68.75011,250,490.684284
-47.040504,250,493.497761
-39.490425,250,496.686241
-56.9893,250,510.232797
-41.58079,250,513.449194
18.643963,250,516.314065
24.58988,250,519.466634
-42.24923,250,532.504833
-48.22008,250,535.567718
-33.79793,250,538.317008
-25.925905,250,541.493258
-132.24826,174,551.145992
-13.621251,250,554.868039
-53.020176,250,560.842735
-33.33339,250,564.150423
38.297615,250,573.996973
8.870754,250,577.86622
-36.305775,250,584.74552
-34.54543,250,587.984858
-74.590485,88,596.360712
-44.852947,250,598.452148
-125.71076,225,600.154627
-44.827587,250,609.212445
-32.258053,250,622.478252
-16.363583,250,2158.008998
-48.484898,250,2159.786245
-34.169304,250,2171.567799
78.68318,250,2183.14685
40.12713,250,2184.902154
-68.08525,250,2186.312383
118.31046,250,2222.931274
-26.984112,250,2233.456402
-104.49999,132,2234.236844
-29.203482,250,2235.215237
-18.819305,250,2236.587602
-81.19736,105,2243.998339
-97.707664,139,2245.1772
-89.83982,179,2249.35201
-24.841343,138,2256.908453
79.73841,250,2257.707317
-38.461563,250,2265.011647
-56.31492,104,2266.213433
-39.189213,250,2270.169
-89.58225,174,2271.224177
-96.62951,112,2274.201559
-99.75944,101,2282.391066
